[VOA20001223.2000.0139]
***************** Gold Standard: ***********************
	FN => Slobodan Milosevic:[325,343]; score:1.000000; title:Slobodan Milošević; score:1.000000
	FN => Socialist Party:[372,387]; score:1.000000; title:Socialist Party of Serbia; score:1.000000
	FN => Democratic opposition:[138,159]; score:1.000000; title:Democratic Opposition of Serbia; score:1.000000

************************ System Result: ***************************
	FP => Yugoslav:[306,314]; score:1.000000; title:Croatian_Academy_of_Sciences_and_Arts; score:1.000000
	FP => Slobodan Milosevic:[325,343]; score:1.000000; title:Bosnian_Genocide; score:1.000000
	FP => Vojislav Kostunica:[40,58]; score:1.000000; title:Vojislav_Koštunica; score:1.000000
	FP => Yugoslav:[21,29]; score:1.000000; title:Croatian_Academy_of_Sciences_and_Arts; score:1.000000
P/R/F:0.0/0.0/0.0; tpCount:0.0; fpCount:4.0; fnCount:3.0
[VOA20001220.2000.0060]
***************** Gold Standard: ***********************
	FN => America:[394,401]; score:1.000000; title:United States; score:1.000000
 => VOA News:[19,27]; score:1.000000; title:Voice of America; score:1.000000
	FN => Texas:[888,893]; score:1.000000; title:Texas; score:1.000000

************************ System Result: ***************************
	FP => Don Evans:[314,323]; score:1.000000; title:Donald_Evans; score:1.000000
 => VOA News:[19,27]; score:1.000000; title:Voice_of_America; score:1.000000
	FP => Mel Martinez:[672,684]; score:1.000000; title:Mel_Martinez; score:1.000000
	FP => Jeb Bush:[822,830]; score:1.000000; title:Alex_Castellanos; score:1.000000
	FP => California Food:[173,188]; score:1.000000; title:United_Food_and_Commercial_Workers; score:1.000000
P/R/F:0.2/0.33333334/0.25; tpCount:1.0; fpCount:4.0; fnCount:2.0
[NYT20001217.2241.0165]
***************** Gold Standard: ***********************
	FN => Burbank:[1725,1732]; score:1.000000; title:Bob Hope Airport; score:1.000000
	FN => Federal Aviation Administration:[2704,2735]; score:1.000000; title:Federal Aviation Administration; score:1.000000
	FN => Aviation Consumer Protection Div:[4785,4817]; score:1.000000; title:Airline complaints; score:1.000000
	FN => Calif:[1773,1778]; score:1.000000; title:California; score:1.000000
	FN => JFK:[1826,1829]; score:1.000000; title:John F. Kennedy International Airport; score:1.000000
 => South:[679,684]; score:1.000000; title:Southern United States; score:1.000000
	FN => La Guardia:[558,568]; score:1.000000; title:LaGuardia Airport; score:1.000000
	FN => Transportation Department:[1018,1043]; score:1.000000; title:United States Department of Transportation; score:1.000000
	FN => New York:[572,580]; score:1.000000; title:New York City; score:1.000000
	FN => Washington:[4586,4596]; score:1.000000; title:Washington, D.C.; score:1.000000
 => John Wayne Airport:[1736,1754]; score:1.000000; title:John Wayne Airport; score:1.000000
	FN => Orange County:[1758,1771]; score:1.000000; title:Orange County, California; score:1.000000
