[APW19980903_1073.htm]
***************** Gold Standard: ***********************
 => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000
 => Wolfgang Schuessel:[701,719]; score:1.000000; title:Wolfgang Schüssel; score:1.000000
 => World Jewish Congress:[898,919]; score:1.000000; title:World Jewish Congress; score:1.000000
 => Holocaust:[248,257]; score:1.000000; title:The Holocaust; score:1.000000
 => United States:[607,620]; score:1.000000; title:United States; score:1.000000
 => Adolf Hitler:[1284,1296]; score:1.000000; title:Adolf Hitler; score:1.000000
	FN => Secretary of State:[104,122]; score:1.000000; title:Secretary of State; score:1.000000
 => Madeleine Albright:[126,144]; score:1.000000; title:Madeleine Albright; score:1.000000
 => Germany:[1302,1309]; score:1.000000; title:Germany; score:1.000000
 => Nazis:[276,281]; score:1.000000; title:Nazism; score:1.000000
 => Association of Art Museum Directors:[1030,1065]; score:1.000000; title:Association of Art Museum Directors; score:1.000000
 => Austria:[76,83]; score:1.000000; title:Austria; score:1.000000
 => Thomas Klestil:[323,337]; score:1.000000; title:Thomas Klestil; score:1.000000
	FN => Moscow:[401,407]; score:1.000000; title:Moscow; score:1.000000
	FN => stolen art:[60,70]; score:1.000000; title:Looted art; score:1.000000

************************ System Result: ***************************
 => Viktor Klima:[664,676]; score:1.000000; title:Viktor_Klima; score:1.000000
	FP => Klestil:[643,650]; score:1.000000; title:Klestil; score:0.615385
 => World Jewish Congress:[898,919]; score:1.000000; title:World_Jewish_Congress; score:0.982260
 => Holocaust:[248,257]; score:1.000000; title:The_Holocaust; score:0.897440
 => Adolf Hitler:[1284,1296]; score:1.000000; title:Adolf_Hitler; score:1.000000
	FP => Austrian:[288,296]; score:1.000000; title:Austrian_Airlines; score:1.000000
	FP => United States:[1075,1088]; score:1.000000; title:United_States; score:1.000000
	FP => Austria:[1257,1264]; score:1.000000; title:Austria; score:0.923077
	FP => Albright:[28,36]; score:1.000000; title:Internet_marketing; score:0.333333
	FP => American:[1106,1114]; score:1.000000; title:United_States; score:1.000000
	FP => Vienna:[383,389]; score:1.000000; title:Vienna; score:0.863636
	FP => Albright:[345,353]; score:1.000000; title:Internet_marketing; score:0.333333
	FP => World War II:[1371,1383]; score:1.000000; title:World_War_II; score:1.000000
	FP => U.S.:[568,572]; score:1.000000; title:United_States; score:0.803799
	FP => Holocaust:[853,862]; score:1.000000; title:The_Holocaust; score:0.897440
	FP => United States:[739,752]; score:1.000000; title:United_States; score:1.000000
	FP => Austria:[726,733]; score:1.000000; title:Austria; score:0.923077
	FP => Albright:[584,592]; score:1.000000; title:Internet_marketing; score:0.333333
 => Wolfgang Schuessel:[701,719]; score:1.000000; title:Wolfgang_Schüssel; score:1.000000
 => United States:[607,620]; score:1.000000; title:United_States; score:1.000000
 => Madeleine Albright:[126,144]; score:1.000000; title:Madeleine_Albright; score:1.000000
	FP => Austrian:[3,11]; score:1.000000; title:Austrian_Airlines; score:1.000000
 => Germany:[1302,1309]; score:1.000000; title:Germany; score:0.731908
 => Nazis:[276,281]; score:1.000000; title:Nazism; score:0.807201
 => Association of Art Museum Directors:[1030,1065]; score:1.000000; title:Association_of_Art_Museum_Directors; score:1.000000
 => Austria:[76,83]; score:1.000000; title:Austria; score:0.923077
 => Thomas Klestil:[323,337]; score:1.000000; title:Thomas_Klestil; score:1.000000
	FP => Moscow:[401,407]; score:1.000000; title:MoSCoW_Method; score:1.000000
	FP => Europe:[882,888]; score:1.000000; title:Europe; score:1.000000
P/R/F:0.41379312/0.8/0.54545456; tpCount:12.0; fpCount:17.0; fnCount:3.0
[APW19980604_0787.htm]
***************** Gold Standard: ***********************
	FN => executives:[377,387]; score:1.000000; title:Chief executive officer; score:1.000000
	FN => banks:[405,410]; score:1.000000; title:Bank; score:1.000000
	FN => corporate ethics:[129,145]; score:1.000000; title:Business ethics; score:1.000000
	FN => finance:[418,425]; score:1.000000; title:Finance; score:1.000000
	FN => Thai people:[766,777]; score:1.000000; title:Thai people; score:1.000000
	FN => newspapers:[844,854]; score:1.000000; title:Newspaper; score:1.000000
	FN => SET:[75,78]; score:1.000000; title:SET Index; score:1.000000
	FN => TV stations:[862,873]; score:1.000000; title:Television channel; score:1.000000
	FN => justice system:[610,624]; score:1.000000; title:Legal systems of the world; score:1.000000
 => Viravaidya:[14,24]; score:1.000000; title:Mechai Viravaidya; score:1.000000
 => Bank of Thailand:[543,559]; score:1.000000; title:Bank of Thailand; score:1.000000
	FN => lifestyle:[354,363]; score:1.000000; title:Lifestyle; score:1.000000
