[Bus3683270.txt]
***************** Gold Standard: ***********************
 => ISM:[1667,3]; score:1.000000
 => DAX:[4932,3]; score:1.000000
 => France:[4967,6]; score:1.000000
	FN => Home Depot:[3563,10]; score:1.000000
 => Al Goldman:[939,10]; score:1.000000
 => NEW YORK:[105,8]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
 => Wal-Mart Stores Inc.:[315,20]; score:1.000000
 => Britain:[4879,7]; score:1.000000
 => CAC-40:[4976,6]; score:1.000000
 => ISM:[2573,3]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
 => Nasdaq:[1269,6]; score:1.000000
 => Institute for Supply Management:[750,31]; score:1.000000
 => Automatic Data Processing Inc.:[1741,30]; score:1.000000
	FN => Russell 2000 index:[4737,18]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
 => Sirius Satellite Radio Inc:[3854,26]; score:1.000000
 => ISM:[855,3]; score:1.000000
 => Dow Jones:[417,9]; score:1.000000
 => Dow:[1115,3]; score:1.000000
 => Japan:[4831,5]; score:1.000000
	FN => Home Depot:[69,10]; score:1.000000
 => Standard & Poor’s 500:[1328,21]; score:1.000000
	FN => Home Depot:[518,10]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,25]; score:1.000000
 => Bob Nardelli:[3277,12]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
 => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
 => ADP:[1772,3]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
 => Lennar:[4435,6]; score:1.000000
 => Amgen Inc:[3767,9]; score:1.000000
	FN => FTSE 100:[4889,8]; score:1.000000
 => Lennar Corp.:[4253,12]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => Nikkei stock average:[4839,20]; score:1.000000
	FN => Goldman:[3194,7]; score:1.000000
 => Germany:[4922,7]; score:1.000000
 => Cytokinetics Inc:[3684,16]; score:1.000000
 => Home Depot Inc:[295,14]; score:1.000000
 => New Year:[4710,8]; score:1.000000

************************ System Result: ***************************
 => ISM:[1667,3]; score:1.000000
 => Goodyear Tire & Rubber Co.:[4026,26]; score:1.000000
 => NEW YORK:[105,8]; score:1.000000
 => Al Goldman:[939,10]; score:1.000000
 => Nikkei:[4839,6]; score:1.000000
 => DAX:[4932,3]; score:1.000000
 => France:[4967,6]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
 => Britain:[4879,7]; score:1.000000
 => ISM:[2573,3]; score:1.000000
 => CAC-40:[4976,6]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
 => Amgen Inc.:[3767,10]; score:1.000000
 => Institute for Supply Management:[750,31]; score:1.000000
 => Nasdaq:[1269,6]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
 => Cytokinetics Inc.:[3684,17]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
 => ISM:[855,3]; score:1.000000
	FP => Russell 2000:[4737,12]; score:1.000000
 => Home Depot Inc.:[295,15]; score:1.000000
 => Dow Jones:[417,9]; score:1.000000
 => Dow:[1115,3]; score:1.000000
 => Japan:[4831,5]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
 => Standard & Poor:[1328,15]; score:1.000000
 => Bob Nardelli:[3277,12]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
 => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
 => Wal-Mart Stores Inc:[315,19]; score:1.000000
 => ADP:[1772,3]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
 => Lennar:[4435,6]; score:1.000000
	FP => Treasury:[1559,8]; score:1.000000
 => Automatic Data Processing Inc:[1741,29]; score:1.000000
 => Lennar Corp.:[4253,12]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
	FP => Goldman:[3194,7]; score:1.000000
 => Sirius Satellite Radio Inc.:[3854,27]; score:1.000000
 => Germany:[4922,7]; score:1.000000
 => New Year:[4710,8]; score:1.000000
precision:0.93333334; recall:0.875; f1:0.9032258; tpCount:42.0; fpCount:3.0; fnCount:6.0
