[1088testa SQUASH]
***************** Gold Standard: ***********************
 => Scotland:[1864,1872]; score:1.000000
 => Eyles:[1896,1901]; score:1.000000
 => HILL:[8,12]; score:1.000000
 => Australian:[1742,1752]; score:1.000000
 => Hill:[266,270]; score:1.000000
 => HONG KONG:[52,61]; score:1.000000
 => Australian:[87,97]; score:1.000000
 => Rodney Eyles:[1753,1765]; score:1.000000
 => Jansher:[1269,1276]; score:1.000000
 => Peter Nicol:[1849,1860]; score:1.000000
 => Eyles:[1780,1785]; score:1.000000
 => Jansher:[379,386]; score:1.000000
 => Jansher:[1916,1923]; score:1.000000
 => Anthony Hill:[98,110]; score:1.000000
 => Hong Kong Open:[1700,1714]; score:1.000000
 => Eyles:[2111,2116]; score:1.000000
 => Jansher:[1669,1676]; score:1.000000
 => Jansher:[902,909]; score:1.000000
 => Jansher:[2055,2062]; score:1.000000
 => Professional Squash Association:[1507,1538]; score:1.000000
 => Hill:[745,749]; score:1.000000
 => Australian:[881,891]; score:1.000000
 => Jansher Khan:[118,130]; score:1.000000
 => Pakistani:[467,476]; score:1.000000
 => Portuguese Open:[1949,1964]; score:1.000000
 => Hong Kong Open:[200,214]; score:1.000000
 => Hill:[446,450]; score:1.000000
 => Jansher:[801,808]; score:1.000000
 => Jansher:[2146,2153]; score:1.000000
	FN => JANSHER:[35,42]; score:1.000000
 => Hill:[578,582]; score:1.000000

************************ System Result: ***************************
 => Scotland:[1864,1872]; score:1.000000
 => Eyles:[1896,1901]; score:1.000000
 => HILL:[8,12]; score:1.000000
 => Australian:[1742,1752]; score:1.000000
	FP => Jansher:[1259,1266]; score:1.000000
 => Hill:[266,270]; score:1.000000
 => HONG KONG:[52,61]; score:1.000000
 => Australian:[87,97]; score:1.000000
 => Rodney Eyles:[1753,1765]; score:1.000000
 => Jansher:[1269,1276]; score:1.000000
 => Peter Nicol:[1849,1860]; score:1.000000
 => Eyles:[1780,1785]; score:1.000000
 => Jansher:[379,386]; score:1.000000
 => Jansher:[1916,1923]; score:1.000000
 => Anthony Hill:[98,110]; score:1.000000
 => Hong Kong Open:[1700,1714]; score:1.000000
 => Eyles:[2111,2116]; score:1.000000
 => Jansher:[1669,1676]; score:1.000000
 => Jansher:[902,909]; score:1.000000
 => Jansher:[2055,2062]; score:1.000000
 => Professional Squash Association:[1507,1538]; score:1.000000
 => Hill:[745,749]; score:1.000000
 => Australian:[881,891]; score:1.000000
 => Jansher Khan:[118,130]; score:1.000000
 => Pakistani:[467,476]; score:1.000000
 => Portuguese Open:[1949,1964]; score:1.000000
 => Hong Kong Open:[200,214]; score:1.000000
 => Hill:[446,450]; score:1.000000
 => Jansher:[801,808]; score:1.000000
 => Jansher:[2146,2153]; score:1.000000
 => Hill:[578,582]; score:1.000000
P/R/F:0.9677419/0.9677419/0.9677419; tpCount:30.0; fpCount:1.0; fnCount:1.0
[1089testa SQUASH]
***************** Gold Standard: ***********************
 => HONG KONG:[42,51]; score:1.000000
 => Anthony Hill:[180,192]; score:1.000000
 => Australia:[194,203]; score:1.000000
 => HONG KONG OPEN:[8,22]; score:1.000000
 => Hong Kong Open:[88,102]; score:1.000000
 => Rodney Eyles:[230,242]; score:1.000000
 => Jansher Khan:[151,163]; score:1.000000
	FN => Australia:[244,253]; score:1.000000
 => Peter Nicol:[263,274]; score:1.000000
 => Scotland:[276,284]; score:1.000000
 => Pakistan:[165,173]; score:1.000000

************************ System Result: ***************************
 => HONG KONG:[42,51]; score:1.000000
 => Anthony Hill:[180,192]; score:1.000000
 => Australia:[194,203]; score:1.000000
 => HONG KONG OPEN:[8,22]; score:1.000000
 => Hong Kong Open:[88,102]; score:1.000000
 => Rodney Eyles:[230,242]; score:1.000000
 => Jansher Khan:[151,163]; score:1.000000
 => Peter Nicol:[263,274]; score:1.000000
 => Scotland:[276,284]; score:1.000000
 => Pakistan:[165,173]; score:1.000000
P/R/F:1.0/0.90909094/0.95238096; tpCount:10.0; fpCount:0.0; fnCount:1.0
[1112testa HORSE]
***************** Gold Standard: ***********************
 => Miss Stamper:[204,216]; score:1.000000
 => Paddy Lad:[267,276]; score:1.000000
 => The Curragh:[176,187]; score:1.000000
 => Beryll Remblance:[409,425]; score:1.000000
 => David Harrison:[248,262]; score:1.000000
 => Pelham:[304,310]; score:1.000000
 => Peter Bloomfield:[283,299]; score:1.000000
 => DUBLIN:[50,56]; score:1.000000
 => John:[400,404]; score:1.000000
 => Warren O'Connor:[317,332]; score:1.000000
 => Britain:[441,448]; score:1.000000
 => Richard Hannon:[452,466]; score:1.000000
 => Tattersalls Breeders Stakes:[82,109]; score:1.000000
 => TATTERSALLS BREEDERS:[14,34]; score:1.000000

************************ System Result: ***************************
 => Paddy Lad:[267,276]; score:1.000000
 => The Curragh:[176,187]; score:1.000000
 => Beryll Remblance:[409,425]; score:1.000000
 => Stamper:[209,216]; score:1.000000
 => David Harrison:[248,262]; score:1.000000
 => Pelham:[304,310]; score:1.000000
 => Peter Bloomfield:[283,299]; score:1.000000
 => DUBLIN:[50,56]; score:1.000000
 => John:[400,404]; score:1.000000
 => Warren O'Connor:[317,332]; score:1.000000
 => Britain:[441,448]; score:1.000000
 => Richard Hannon:[452,466]; score:1.000000
 => Tattersalls Breeders Stakes:[82,109]; score:1.000000
 => TATTERSALLS BREEDERS:[14,34]; score:1.000000
P/R/F:1.0/1.0/1.0; tpCount:14.0; fpCount:0.0; fnCount:0.0
[948testa CRICKET]
***************** Gold Standard: ***********************
 => London:[518,524]; score:1.000000
 => Leicestershire:[271,285]; score:1.000000
 => T. Moody:[969,977]; score:1.000000
 => Chester-le-Street:[309,326]; score:1.000000
 => V. Drakes:[685,694]; score:1.000000
 => K. Curran:[1070,1079]; score:1.000000
 => Durham:[397,403]; score:1.000000
 => Somerset:[212,220]; score:1.000000
 => Chesterfield:[856,868]; score:1.000000
 => Sussex:[659,665]; score:1.000000
 => ENGLISH COUNTY CHAMPIONSHIP:[9,36]; score:1.000000
 => Leicestershire:[156,170]; score:1.000000
 => D. Bicknell:[636,647]; score:1.000000
 => I. Austin:[699,708]; score:1.000000
 => Hampshire:[831,840]; score:1.000000
 => T.O'Gorman:[930,940]; score:1.000000
 => Glamorgan:[328,337]; score:1.000000
 => J. Ratcliffe:[619,631]; score:1.000000
 => Surrey:[555,561]; score:1.000000
 => M. Gatting:[815,825]; score:1.000000
 => LONDON:[45,51]; score:1.000000
 => D. Blenkiron:[377,389]; score:1.000000
 => K. Barnett:[954,964]; score:1.000000
 => G. Kersey:[605,614]; score:1.000000
 => Kent:[506,510]; score:1.000000
 => H. Morris:[363,372]; score:1.000000
 => Lancashire:[716,726]; score:1.000000
 => Tunbridge Wells:[435,450]; score:1.000000
	FN => M. Butcher:[590,600]; score:1.000000
 => The Oval:[526,534]; score:1.000000
 => Northamptonshire:[1048,1064]; score:1.000000
 => Hove:[653,657]; score:1.000000
 => J. Adams:[916,924]; score:1.000000
 => Warwickshire:[537,549]; score:1.000000
 => Middlesex:[758,767]; score:1.000000
 => P. Johnson:[473,483]; score:1.000000
 => Nottinghamshire:[452,467]; score:1.000000
 => W. Athey:[671,679]; score:1.000000
 => Worcestershire:[870,884]; score:1.000000
 => M. McCague:[488,498]; score:1.000000
 => P. Simmons:[233,243]; score:1.000000
 => Portsmouth:[746,756]; score:1.000000
 => Somerset:[297,305]; score:1.000000
 => J. Pooley:[781,790]; score:1.000000
 => Leicester:[145,154]; score:1.000000
	FN => Somerset:[176,184]; score:1.000000
 => Leicestershire:[251,265]; score:1.000000
 => M. Ramprakash:[796,809]; score:1.000000
 => S. Watkin:[409,418]; score:1.000000
 => C. Lewis:[569,577]; score:1.000000
 => Bristol:[984,991]; score:1.000000
 => Gloucestershire:[993,1008]; score:1.000000
 => A. Smith:[1084,1092]; score:1.000000
 => J. Russell:[1024,1034]; score:1.000000
 => W. Hegg:[734,741]; score:1.000000
 => A. Dale:[351,358]; score:1.000000
 => Derbyshire:[900,910]; score:1.000000
 => English:[98,105]; score:1.000000

************************ System Result: ***************************
 => London:[518,524]; score:1.000000
 => Leicestershire:[271,285]; score:1.000000
 => T. Moody:[969,977]; score:1.000000
 => Chester-le-Street:[309,326]; score:1.000000
 => V. Drakes:[685,694]; score:1.000000
 => K. Curran:[1070,1079]; score:1.000000
 => Durham:[397,403]; score:1.000000
 => Somerset:[212,220]; score:1.000000
 => Chesterfield:[856,868]; score:1.000000
