[APW19980903_1073.htm]
***************** Gold Standard: ***********************
	FN => Viktor Klima:[664,676]; score:1.000000; title:Viktor Klima; score:1.000000
 => Wolfgang Schuessel:[701,719]; score:1.000000; title:Wolfgang Schüssel; score:1.000000
 => World Jewish Congress:[898,919]; score:1.000000; title:World Jewish Congress; score:1.000000
	FN => Holocaust:[248,257]; score:1.000000; title:The Holocaust; score:1.000000
 => United States:[607,620]; score:1.000000; title:United States; score:1.000000
 => Adolf Hitler:[1284,1296]; score:1.000000; title:Adolf Hitler; score:1.000000
	FN => Secretary of State:[104,122]; score:1.000000; title:Secretary of State; score:1.000000
 => Madeleine Albright:[126,144]; score:1.000000; title:Madeleine Albright; score:1.000000
	FN => Germany:[1302,1309]; score:1.000000; title:Germany; score:1.000000
 => Nazis:[276,281]; score:1.000000; title:Nazism; score:1.000000
	FN => Association of Art Museum Directors:[1030,1065]; score:1.000000; title:Association of Art Museum Directors; score:1.000000
 => Austria:[76,83]; score:1.000000; title:Austria; score:1.000000
 => Thomas Klestil:[323,337]; score:1.000000; title:Thomas Klestil; score:1.000000
 => Moscow:[401,407]; score:1.000000; title:Moscow; score:1.000000
	FN => stolen art:[60,70]; score:1.000000; title:Looted art; score:1.000000

************************ System Result: ***************************
	FP => war:[1204,1207]; score:1.000000; title:War; score:0.132766
	FP => stolen art:[953,963]; score:1.000000; title:Art_theft; score:0.148072
	FP => stolen art:[60,70]; score:1.000000; title:Art_theft; score:0.148072
	FP => Chancellor:[652,662]; score:1.000000; title:Chancellor_of_Austria; score:0.233122
	FP => American art:[1106,1118]; score:1.000000; title:American_art; score:0.055834
	FP => tells:[22,27]; score:1.000000; title:Tell; score:0.033832
	FP => nation:[1354,1360]; score:1.000000; title:Nation; score:0.137192
	FP => check:[1127,1132]; score:1.000000; title:Cheque; score:0.058144
	FP => Foreign Minister:[683,699]; score:1.000000; title:Foreign_minister; score:0.165453
	FP => June:[1019,1023]; score:1.000000; title:June_3; score:0.113512
	FP => origin:[464,470]; score:1.000000; title:Original_English-language_manga; score:0.053486
	FP => Albright:[345,353]; score:1.000000; title:Madeleine_Albright; score:0.292669
	FP => commission:[198,208]; score:1.000000; title:European_Commission; score:0.196933
	FP => art:[221,224]; score:1.000000; title:Art; score:0.127155
	FP => art:[478,481]; score:1.000000; title:Art; score:0.127155
	FP => effort:[40,46]; score:1.000000; title:Energy; score:0.073329
	FP => Thursday:[150,158]; score:1.000000; title:Thursday; score:0.042826
	FP => visit:[374,379]; score:1.000000; title:The_Visit; score:0.009225
	FP => United States:[1075,1088]; score:1.000000; title:United_States; score:0.131744
	FP => Austria:[1257,1264]; score:1.000000; title:Austria; score:0.330796
	FP => day:[370,373]; score:1.000000; title:Sandra_Day_O'Connor; score:0.127090
	FP => Vienna:[383,389]; score:1.000000; title:Vienna; score:0.205926
	FP => works:[482,487]; score:1.000000; title:Work_of_art; score:0.080229
	FP => Albright:[584,592]; score:1.000000; title:Madeleine_Albright; score:0.292669
	FP => worth:[828,833]; score:1.000000; title:Net_worth; score:0.085166
	FP => United States:[739,752]; score:1.000000; title:United_States; score:0.131744
	FP => President:[312,321]; score:1.000000; title:President_of_France; score:0.257330
	FP => left:[593,597]; score:1.000000; title:Left-wing_politics; score:0.102274
	FP => issue:[559,564]; score:1.000000; title:Issues_(Korn_album); score:0.001686
 => Wolfgang Schuessel:[701,719]; score:1.000000; title:Wolfgang_Schüssel; score:0.148344
	FP => dollars:[820,827]; score:1.000000; title:Dollar; score:0.124192
 => United States:[607,620]; score:1.000000; title:United_States; score:0.131744
 => Madeleine Albright:[126,144]; score:1.000000; title:Madeleine_Albright; score:0.292669
	FP => Federal:[501,508]; score:1.000000; title:Federal_government_of_the_United_States; score:0.183571
	FP => independent:[1342,1353]; score:1.000000; title:Independence; score:0.127216
 => Thomas Klestil:[323,337]; score:1.000000; title:Thomas_Klestil; score:0.240630
	FP => billion:[983,990]; score:1.000000; title:Long_and_short_scales; score:0.081566
	FP => Klestil:[643,650]; score:1.000000; title:Thomas_Klestil; score:0.240630
	FP => meetings:[629,637]; score:1.000000; title:Meeting; score:0.053415
	FP => president:[88,97]; score:1.000000; title:President_of_France; score:0.257330
	FP => Albright:[28,36]; score:1.000000; title:Madeleine_Albright; score:0.292669
 => World Jewish Congress:[898,919]; score:1.000000; title:World_Jewish_Congress; score:0.261681
	FP => launched:[779,787]; score:1.000000; title:Ship_naming_and_launching; score:0.085874
	FP => officials:[573,582]; score:1.000000; title:Official; score:0.064354
