[APW19980903_1073.htm]
***************** Gold Standard: ***********************
	FN => Association of Art Museum Directors:[1030,35]; score:1.000000
 => Austria:[76,7]; score:1.000000
 => Moscow:[401,6]; score:1.000000
 => Wolfgang Schuessel:[701,18]; score:1.000000
 => Madeleine Albright:[126,18]; score:1.000000
	FN => Viktor Klima:[664,12]; score:1.000000
 => World Jewish Congress:[898,21]; score:1.000000
 => Nazis:[276,5]; score:1.000000
	FN => Holocaust:[248,9]; score:1.000000
	FN => Germany:[1302,7]; score:1.000000
	FN => stolen art:[60,10]; score:1.000000
 => United States:[607,13]; score:1.000000
 => Thomas Klestil:[323,14]; score:1.000000
	FN => Secretary of State:[104,18]; score:1.000000
 => Adolf Hitler:[1284,12]; score:1.000000

************************ System Result: ***************************
	FP => billions:[808,8]; score:1.000000
	FP => art:[837,3]; score:1.000000
 => Austria:[76,7]; score:1.000000
 => Madeleine Albright:[126,18]; score:1.000000
	FP => Austria:[726,7]; score:1.000000
 => Nazis:[276,5]; score:1.000000
	FP => billion:[983,7]; score:1.000000
	FP => tells:[22,5]; score:1.000000
	FP => drive:[790,5]; score:1.000000
	FP => Austrian president:[3,18]; score:1.000000
	FP => works:[1175,5]; score:1.000000
	FP => U.S.:[568,4]; score:1.000000
	FP => Museum:[509,6]; score:1.000000
	FP => museums:[1119,7]; score:1.000000
	FP => Vienna:[383,6]; score:1.000000
	FP => art:[221,3]; score:1.000000
	FP => art:[478,3]; score:1.000000
	FP => Albright:[584,8]; score:1.000000
	FP => officials:[297,9]; score:1.000000
	FP => Austria:[1257,7]; score:1.000000
	FP => Chancellor:[652,10]; score:1.000000
	FP => billion:[1004,7]; score:1.000000
	FP => United States:[1075,13]; score:1.000000
	FP => American art:[1106,12]; score:1.000000
	FP => database:[1231,8]; score:1.000000
	FP => issue:[559,5]; score:1.000000
	FP => Europe.:[882,7]; score:1.000000
 => Moscow:[401,6]; score:1.000000
	FP => left:[593,4]; score:1.000000
	FP => Federal:[501,7]; score:1.000000
	FP => World War II:[1371,12]; score:1.000000
	FP => day:[370,3]; score:1.000000
	FP => President:[312,9]; score:1.000000
	FP => Albright:[345,8]; score:1.000000
	FP => tracking:[1244,8]; score:1.000000
	FP => summit:[410,6]; score:1.000000
	FP => officials:[573,9]; score:1.000000
	FP => nations:[766,7]; score:1.000000
	FP => worth:[828,5]; score:1.000000
	FP => Klestil:[643,7]; score:1.000000
	FP => worldwide:[1221,9]; score:1.000000
	FP => government:[168,10]; score:1.000000
	FP => commission:[427,10]; score:1.000000
	FP => effort:[40,6]; score:1.000000
 => Wolfgang Schuessel:[701,18]; score:1.000000
	FP => meetings:[629,8]; score:1.000000
	FP => president:[88,9]; score:1.000000
	FP => stolen art:[953,10]; score:1.000000
	FP => Germany:[1302,7]; score:1.000000
	FP => stolen art:[60,10]; score:1.000000
 => United States:[607,13]; score:1.000000
 => Thomas Klestil:[323,14]; score:1.000000
	FP => United States:[739,13]; score:1.000000
	FP => June:[1019,4]; score:1.000000
 => Adolf Hitler:[1284,12]; score:1.000000
	FP => commission:[198,10]; score:1.000000
	FP => works:[482,5]; score:1.000000
	FP => current:[936,7]; score:1.000000
	FP => check:[1127,5]; score:1.000000
	FP => launched:[779,8]; score:1.000000
	FP => nation:[1354,6]; score:1.000000
	FP => art:[555,3]; score:1.000000
	FP => origin:[464,6]; score:1.000000
	FP => dollars:[820,7]; score:1.000000
 => World Jewish Congress:[898,21]; score:1.000000
	FP => Thursday:[150,8]; score:1.000000
	FP => war:[1204,3]; score:1.000000
	FP => visit:[374,5]; score:1.000000
	FP => independent:[1342,11]; score:1.000000
	FP => Albright:[28,8]; score:1.000000
	FP => Secretary of State:[104,18]; score:1.000000
	FP => Austrian:[288,8]; score:1.000000
	FP => Foreign Minister:[683,16]; score:1.000000
P/R/F:0.12328767/0.6/0.20454545; tpCount:9.0; fpCount:64.0; fnCount:6.0
[APW19980604_0787.htm]
***************** Gold Standard: ***********************
	FN => banks:[405,5]; score:1.000000
 => corporate ethics:[129,16]; score:1.000000
 => newspapers:[844,10]; score:1.000000
 => TV stations:[862,11]; score:1.000000
 => Thai people:[766,11]; score:1.000000
	FN => justice system:[610,14]; score:1.000000
	FN => Viravaidya:[14,10]; score:1.000000
	FN => SET:[75,3]; score:1.000000
	FN => lifestyle:[354,9]; score:1.000000
 => finance:[418,7]; score:1.000000
	FN => executives:[377,10]; score:1.000000
 => Bank of Thailand:[543,16]; score:1.000000

************************ System Result: ***************************
	FP => expose:[102,6]; score:1.000000
	FP => discover:[682,8]; score:1.000000
	FP => media:[1288,5]; score:1.000000
	FP => watchdog:[46,8]; score:1.000000
	FP => SET:[75,3]; score:1.000000
	FP => citizen:[1107,7]; score:1.000000
	FP => lifestyle:[919,9]; score:1.000000
	FP => abuses:[118,6]; score:1.000000
 => TV stations:[862,11]; score:1.000000
	FP => media:[667,5]; score:1.000000
	FP => evidence:[576,8]; score:1.000000
	FP => justice:[610,7]; score:1.000000
	FP => plan:[1217,4]; score:1.000000
	FP => shares:[259,6]; score:1.000000
	FP => ordinary:[1093,8]; score:1.000000
