[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
 => Nikkei stock average:[4839,4859]; score:1.000000; title:Nikkei 225; score:1.000000
	FN => NEW YORK:[105,113]; score:1.000000; title:New York City; score:1.000000
 => Wall Street:[662,673]; score:1.000000; title:Wall Street; score:1.000000
 => Home Depot:[3563,3573]; score:1.000000; title:Home Depot; score:1.000000
	FN => Russell 2000 index:[4737,4755]; score:1.000000; title:Russell 2000; score:1.000000
	FN => ISM:[2573,2576]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => New York Mercantile Exchange:[2158,2186]; score:1.000000; title:New York Mercantile Exchange; score:1.000000
	FN => DAX:[4932,4935]; score:1.000000; title:DAX; score:1.000000
 => Wal-Mart Stores Inc.:[315,335]; score:1.000000; title:Wal-Mart; score:1.000000
	FN => Dow Jones:[417,426]; score:1.000000; title:Dow Jones Industrial Average; score:1.000000
 => Gerald R. Ford:[2366,2380]; score:1.000000; title:Gerald Ford; score:1.000000
 => Dow:[1115,1118]; score:1.000000; title:Dow Jones Industrial Average; score:1.000000
 => Standard & Poor’s 500:[1328,1349]; score:1.000000; title:S&P 500; score:1.000000
	FN => Institute for Supply Management:[750,781]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => United States:[2239,2252]; score:1.000000; title:United States; score:1.000000
 => Japan:[4831,4836]; score:1.000000; title:Japan; score:1.000000
	FN => Nasdaq:[1269,1275]; score:1.000000; title:NASDAQ; score:1.000000
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000; title:Wal-Mart; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,4051]; score:1.000000; title:Goodyear Tire & Rubber; score:1.000000
 => Automatic Data Processing Inc.:[1741,1771]; score:1.000000; title:Automatic Data Processing; score:1.000000
	FN => ISM:[855,858]; score:1.000000; title:Institute for Supply Management; score:1.000000
	FN => CAC-40:[4976,4982]; score:1.000000; title:CAC 40; score:1.000000
 => FTSE 100:[4889,4897]; score:1.000000; title:FTSE 100 Index; score:1.000000
 => Home Depot:[69,79]; score:1.000000; title:Home Depot; score:1.000000
 => Sirius Satellite Radio Inc:[3854,3880]; score:1.000000; title:Sirius Satellite Radio; score:1.000000
 => Home Depot:[518,528]; score:1.000000; title:Home Depot; score:1.000000
 => New York Stock Exchange:[4546,4569]; score:1.000000; title:New York Stock Exchange; score:1.000000
 => Wall Street:[2382,2393]; score:1.000000; title:Wall Street; score:1.000000
 => Germany:[4922,4929]; score:1.000000; title:Germany; score:1.000000
 => U.S.:[4279,4283]; score:1.000000; title:United States; score:1.000000
 => Wal-Mart:[3610,3618]; score:1.000000; title:Wal-Mart; score:1.000000
 => France:[4967,4973]; score:1.000000; title:France; score:1.000000
 => Commerce Department:[2999,3018]; score:1.000000; title:United States Department of Commerce; score:1.000000
	FN => A.G. Edwards:[978,990]; score:1.000000; title:A.G. Edwards; score:1.000000
 => Amgen Inc:[3767,3776]; score:1.000000; title:Amgen; score:1.000000
 => Amgen:[3820,3825]; score:1.000000; title:Amgen; score:1.000000
 => Britain:[4879,4886]; score:1.000000; title:Great Britain; score:1.000000
	FN => Lennar Corp.:[4253,4265]; score:1.000000; title:Lennar Corporation; score:1.000000
 => ADP:[1772,1775]; score:1.000000; title:Automatic Data Processing; score:1.000000
 => New Year:[4710,4718]; score:1.000000; title:New Year; score:1.000000
	FN => Lennar:[4435,4441]; score:1.000000; title:Lennar Corporation; score:1.000000
 => Nasdaq:[1418,1424]; score:1.000000; title:NASDAQ; score:1.000000
 => Home Depot Inc:[295,309]; score:1.000000; title:Home Depot; score:1.000000
	FN => ISM:[1667,1670]; score:1.000000; title:Institute for Supply Management; score:1.000000

************************ System Result: ***************************
	FP => report:[1699,1705]; score:1.000000; title:Report; score:0.059884
	FP => year:[2011,2015]; score:1.000000; title:Year; score:0.045552
	FP => record:[2965,2971]; score:1.000000; title:Gramophone_record; score:0.026783
	FP => month:[1892,1897]; score:1.000000; title:Month; score:0.050086
	FP => percent:[1604,1611]; score:1.000000; title:Percentage; score:0.043843
	FP => investors:[176,185]; score:1.000000; title:Investor; score:0.063579
	FP => cents:[3834,3839]; score:1.000000; title:Quarter_(United_States_coin); score:0.020345
	FP => quarter:[4345,4352]; score:1.000000; title:Academic_term; score:0.024982
 => United States:[2239,2252]; score:1.000000; title:United_States; score:0.049544
	FP => rose:[1254,1258]; score:1.000000; title:Rose; score:0.057089
	FP => surge:[57,62]; score:1.000000; title:Iraq_War_troop_surge_of_2007; score:0.022413
	FP => Goldman:[3194,3201]; score:1.000000; title:Goldman_Sachs; score:0.082206
	FP => laden:[1412,1417]; score:1.000000; title:Osama_bin_Laden; score:0.041674
	FP => aftermath:[2451,2460]; score:1.000000; title:Aftermath_Entertainment; score:0.014088
	FP => percent:[3642,3649]; score:1.000000; title:Percentage; score:0.043843
	FP => solid:[201,206]; score:1.000000; title:Solid; score:0.009271
	FP => companies:[4767,4776]; score:1.000000; title:Company; score:0.046572
	FP => less-than:[2891,2900]; score:1.000000; title:Inequality_(mathematics); score:0.004145
	FP => drove:[407,412]; score:1.000000; title:Drovers'_road; score:0.012523
	FP => percent:[1586,1593]; score:1.000000; title:Percentage; score:0.043843
	FP => cut:[1982,1985]; score:1.000000; title:Film_editing; score:0.024075
	FP => rose:[3826,3830]; score:1.000000; title:Rose; score:0.057089
 => France:[4967,4973]; score:1.000000; title:France; score:0.043703
	FP => performance:[599,610]; score:1.000000; title:Performance; score:0.027093
	FP => ISM:[855,858]; score:1.000000; title:International_Solidarity_Movement; score:0.012050
	FP => momentum:[3253,3261]; score:1.000000; title:Spectator_sport; score:0.013695
	FP => closed:[2318,2324]; score:1.000000; title:Closed_set; score:0.000777
	FP => combat:[3798,3804]; score:1.000000; title:Combat; score:0.024256
	FP => activity:[3042,3050]; score:1.000000; title:Radioactive_decay; score:0.022251
	FP => issues:[4494,4500]; score:1.000000; title:Issues_(Korn_album); score:0.006307
	FP => anemic:[4683,4689]; score:1.000000; title:Anemia; score:0.024392
	FP => base:[3966,3970]; score:1.000000; title:Baseball_field; score:0.025262
	FP => fell:[1807,1811]; score:1.000000; title:Fell; score:0.007238
	FP => strong:[376,382]; score:1.000000; title:Tom_Strong; score:0.008656
	FP => November:[2722,2730]; score:1.000000; title:November_12; score:0.023779
	FP => trading:[1102,1109]; score:1.000000; title:Trader_(finance); score:0.082762
	FP => cents:[3890,3895]; score:1.000000; title:Quarter_(United_States_coin); score:0.020345
	FP => market:[3154,3160]; score:1.000000; title:Market_capitalization; score:0.105425
 => Nasdaq:[1418,1424]; score:1.000000; title:NASDAQ; score:0.115538
	FP => economy:[223,230]; score:1.000000; title:Economy; score:0.055702
	FP => service:[3938,3945]; score:1.000000; title:Service_(economics); score:0.060494
	FP => rose:[4860,4864]; score:1.000000; title:Rose; score:0.057089
	FP => outnumbered:[4501,4512]; score:1.000000; title:Outnumbered; score:0.009412
	FP => month:[2988,2993]; score:1.000000; title:Month; score:0.050086
	FP => year:[25,29]; score:1.000000; title:Year; score:0.045552
	FP => closed:[4898,4904]; score:1.000000; title:Closed_set; score:0.000777
	FP => percent:[3722,3729]; score:1.000000; title:Percentage; score:0.043843
	FP => activity:[2945,2953]; score:1.000000; title:Radioactive_decay; score:0.022251
	FP => weak:[1683,1687]; score:1.000000; title:Weakness; score:0.010570
	FP => construction:[895,907]; score:1.000000; title:Construction; score:0.050323
	FP => expected:[804,812]; score:1.000000; title:Expected_value; score:0.039382
	FP => drugs:[3789,3794]; score:1.000000; title:Drug; score:0.029245
 => Automatic Data Processing Inc.:[1741,1771]; score:1.000000; title:Automatic_Data_Processing; score:0.023154
	FP => word:[508,512]; score:1.000000; title:Microsoft_Word; score:0.014818
	FP => employment:[1688,1698]; score:1.000000; title:Employment; score:0.042237
	FP => word:[2559,2563]; score:1.000000; title:Microsoft_Word; score:0.014818
	FP => mark:[2336,2340]; score:1.000000; title:Deutsche_Mark; score:0.041118
	FP => Light:[2100,2105]; score:1.000000; title:Light; score:0.016707
	FP => subscriber:[3955,3965]; score:1.000000; title:Subscription_business_model; score:0.023422
	FP => oil prices:[352,362]; score:1.000000; title:Price_of_petroleum; score:0.039764
 => Wal-Mart Stores Inc.:[315,335]; score:1.000000; title:Walmart; score:0.051487
	FP => percent:[1141,1148]; score:1.000000; title:Percentage; score:0.043843
	FP => strike:[4179,4185]; score:1.000000; title:Strike_action; score:0.053798
	FP => start:[7,12]; score:1.000000; title:Starting_lineup; score:0.035487
	FP => year:[1554,1558]; score:1.000000; title:Year; score:0.045552
 => Germany:[4922,4929]; score:1.000000; title:Germany; score:0.047894
	FP => report:[708,714]; score:1.000000; title:Report; score:0.059884
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000; title:Walmart; score:0.051487
	FP => work:[2534,2538]; score:1.000000; title:Workington; score:0.018465
 => Home Depot:[69,79]; score:1.000000; title:The_Home_Depot; score:0.034769
	FP => rose:[3882,3886]; score:1.000000; title:Rose; score:0.057089
	FP => annual:[3087,3093]; score:1.000000; title:Annual_report; score:0.050738
	FP => market:[3225,3231]; score:1.000000; title:Market_capitalization; score:0.105425
	FP => chief executive:[544,559]; score:1.000000; title:Chief_executive_officer; score:0.062844
	FP => weaker:[4240,4246]; score:1.000000; title:Weakness; score:0.010570
	FP => Stocks:[465,471]; score:1.000000; title:Stocks; score:0.081249
	FP => trading:[17,24]; score:1.000000; title:Trader_(finance); score:0.082762
	FP => report:[2774,2780]; score:1.000000; title:Report; score:0.059884
	FP => flat:[3530,3534]; score:1.000000; title:Apartment; score:0.031368
	FP => positive:[3356,3364]; score:1.000000; title:Positive_law; score:0.001244
	FP => expected:[2901,2909]; score:1.000000; title:Expected_value; score:0.039382
	FP => chief executive:[80,95]; score:1.000000; title:Chief_executive_officer; score:0.062844
	FP => signs:[4392,4397]; score:1.000000; title:Signs_(film); score:0.011272
	FP => manufacturing sector:[2700,2720]; score:1.000000; title:Secondary_sector_of_the_economy; score:0.004506
	FP => big:[276,279]; score:1.000000; title:London_Biggin_Hill_Airport; score:0.005795
	FP => trading:[448,455]; score:1.000000; title:Trader_(finance); score:0.082762
	FP => currencies:[2061,2071]; score:1.000000; title:Currency; score:0.057941
	FP => holiday:[4721,4728]; score:1.000000; title:Holiday; score:0.028573
	FP => sharp:[1311,1316]; score:1.000000; title:Sharp_Corporation; score:0.034307
 => New York Mercantile Exchange:[2158,2186]; score:1.000000; title:New_York_Mercantile_Exchange; score:0.081468
 => Gerald R. Ford:[2366,2380]; score:1.000000; title:Gerald_Ford; score:0.034805
	FP => years:[579,584]; score:1.000000; title:Year; score:0.045552
 => Standard & Poor’s 500:[1328,1349]; score:1.000000; title:S&P_500; score:0.135890
 => Japan:[4831,4836]; score:1.000000; title:Japan; score:0.048757
	FP => percent:[4798,4805]; score:1.000000; title:Percentage; score:0.043843
	FP => good:[3241,3245]; score:1.000000; title:Good_(economics); score:0.042511
	FP => rally:[35,40]; score:1.000000; title:Rallying; score:0.021780
 => Amgen Inc.:[3767,3777]; score:1.000000; title:Amgen; score:0.034632
	FP => mixed:[2035,2040]; score:1.000000; title:Mixed_media; score:0.005363
 => New York Stock Exchange:[4546,4569]; score:1.000000; title:New_York_Stock_Exchange; score:0.127800
	FP => expected:[882,890]; score:1.000000; title:Expected_value; score:0.039382
	FP => today:[1072,1077]; score:1.000000; title:Today_(NBC_program); score:0.047306
	FP => investors:[1630,1639]; score:1.000000; title:Investor; score:0.063579
	FP => afternoon:[1092,1101]; score:1.000000; title:Afternoon_(magazine); score:0.008629
	FP => work:[3757,3761]; score:1.000000; title:Workington; score:0.018465
 => Home Depot:[518,528]; score:1.000000; title:The_Home_Depot; score:0.034769
	FP => yield:[1528,1533]; score:1.000000; title:Yield_(finance); score:0.046117
	FP => expansion:[2683,2692]; score:1.000000; title:Economic_growth; score:0.066835
	FP => start:[499,504]; score:1.000000; title:Starting_lineup; score:0.035487
	FP => CAC:[4976,4979]; score:1.000000; title:California_Arts_Council; score:0.008082
 => Britain:[4879,4886]; score:1.000000; title:Great_Britain; score:0.049304
	FP => rose:[3460,3464]; score:1.000000; title:Rose; score:0.057089
	FP => hiatus:[2420,2426]; score:1.000000; title:Hiatus_(television); score:0.009074
	FP => dollar:[2024,2030]; score:1.000000; title:Dollar; score:0.034193
	FP => interest rate:[1968,1981]; score:1.000000; title:Federal_funds_rate; score:0.076214
	FP => hurt:[4195,4199]; score:1.000000; title:William_Hurt; score:0.017999
 => Wall Street:[662,673]; score:1.000000; title:Wall_Street; score:0.086692
	FP => expected:[923,931]; score:1.000000; title:Expected_value; score:0.039382
	FP => gains:[650,655]; score:1.000000; title:Gain; score:0.011101
	FP => stocks:[2848,2854]; score:1.000000; title:Stocks; score:0.081249
	FP => topping:[3478,3485]; score:1.000000; title:Topping_out; score:0.016698
	FP => rose:[1425,1429]; score:1.000000; title:Rose; score:0.057089
	FP => percent:[4870,4877]; score:1.000000; title:Percentage; score:0.043843
 => Home Depot:[3563,3573]; score:1.000000; title:The_Home_Depot; score:0.034769
	FP => news:[1671,1675]; score:1.000000; title:News_Corporation; score:0.047285
 => Goodyear Tire & Rubber:[4026,4048]; score:1.000000; title:Goodyear_Tire_and_Rubber_Company; score:0.036704
	FP => chief:[951,956]; score:1.000000; title:Chief_executive_officer; score:0.062844
	FP => fell:[2091,2095]; score:1.000000; title:Fell; score:0.007238
	FP => chain:[3341,3346]; score:1.000000; title:Chain_store; score:0.034363
	FP => company:[3490,3497]; score:1.000000; title:Company; score:0.046572
 => Sirius Satellite Radio:[3854,3876]; score:1.000000; title:Sirius_Satellite_Radio; score:0.038521
	FP => fell:[1573,1577]; score:1.000000; title:Fell; score:0.007238
	FP => heart failure:[3805,3818]; score:1.000000; title:Heart_failure; score:0.029145
	FP => month:[4173,4178]; score:1.000000; title:Month; score:0.050086
 => Home Depot Inc.:[295,310]; score:1.000000; title:The_Home_Depot; score:0.034769
	FP => signals:[2675,2682]; score:1.000000; title:Military_communications; score:0.009123
	FP => resigned:[3290,3298]; score:1.000000; title:Resignation; score:0.024990
	FP => Bond:[1625,1629]; score:1.000000; title:Bond_(finance); score:0.092965
	FP => balance:[1655,1662]; score:1.000000; title:Balance_beam; score:0.013547
