[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
	FN => NEW YORK:[105,8]; score:1.000000
 => France:[4967,6]; score:1.000000
 => Home Depot:[3563,10]; score:1.000000
	FN => DAX:[4932,3]; score:1.000000
	FN => Al Goldman:[939,10]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
 => Wal-Mart Stores Inc.:[315,20]; score:1.000000
 => Britain:[4879,7]; score:1.000000
	FN => ISM:[2573,3]; score:1.000000
	FN => CAC-40:[4976,6]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
	FN => Russell 2000 index:[4737,18]; score:1.000000
	FN => Nasdaq:[1269,6]; score:1.000000
 => Automatic Data Processing Inc.:[1741,30]; score:1.000000
	FN => Institute for Supply Management:[750,31]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
 => Sirius Satellite Radio Inc:[3854,26]; score:1.000000
	FN => ISM:[855,3]; score:1.000000
	FN => Dow Jones:[417,9]; score:1.000000
 => Dow:[1115,3]; score:1.000000
 => Japan:[4831,5]; score:1.000000
 => Home Depot:[69,10]; score:1.000000
 => Standard & Poor's 500:[1328,21]; score:1.000000
 => Home Depot:[518,10]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,25]; score:1.000000
	FN => Bob Nardelli:[3277,12]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
	FN => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
	FN => ADP:[1772,3]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
	FN => Lennar:[4435,6]; score:1.000000
 => Amgen Inc:[3767,9]; score:1.000000
	FN => Lennar Corp.:[4253,12]; score:1.000000
 => FTSE 100:[4889,8]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
 => Germany:[4922,7]; score:1.000000
