[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
 => Home Depot:[3563,10]; score:1.000000
	FN => DAX:[4932,3]; score:1.000000
 => France:[4967,6]; score:1.000000
	FN => Al Goldman:[939,10]; score:1.000000
	FN => NEW YORK:[105,8]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
 => Wal-Mart Stores Inc.:[315,20]; score:1.000000
 => Britain:[4879,7]; score:1.000000
	FN => CAC-40:[4976,6]; score:1.000000
	FN => ISM:[2573,3]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
	FN => Russell 2000 index:[4737,18]; score:1.000000
 => Automatic Data Processing Inc.:[1741,30]; score:1.000000
	FN => Nasdaq:[1269,6]; score:1.000000
	FN => Institute for Supply Management:[750,31]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
 => Sirius Satellite Radio Inc:[3854,26]; score:1.000000
	FN => ISM:[855,3]; score:1.000000
	FN => Dow Jones:[417,9]; score:1.000000
 => Dow:[1115,3]; score:1.000000
 => Japan:[4831,5]; score:1.000000
 => Home Depot:[69,10]; score:1.000000
 => Standard & Poor’s 500:[1328,21]; score:1.000000
 => Home Depot:[518,10]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
	FN => Bob Nardelli:[3277,12]; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,25]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
	FN => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
 => ADP:[1772,3]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
	FN => Lennar:[4435,6]; score:1.000000
 => Amgen Inc:[3767,9]; score:1.000000
	FN => Lennar Corp.:[4253,12]; score:1.000000
 => FTSE 100:[4889,8]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
 => Germany:[4922,7]; score:1.000000
 => Nikkei stock average:[4839,20]; score:1.000000
	FN => Goldman:[3194,7]; score:1.000000
	FN => Cytokinetics Inc:[3684,16]; score:1.000000
 => Home Depot Inc:[295,14]; score:1.000000
 => New Year:[4710,8]; score:1.000000

************************ System Result: ***************************
	FP => chief executive:[80,15]; score:1.000000
 => France:[4967,6]; score:1.000000
	FP => recovery:[4403,8]; score:1.000000
	FP => times:[401,5]; score:1.000000
	FP => year:[4017,4]; score:1.000000
	FP => spending:[2869,8]; score:1.000000
	FP => hiatus:[2420,6]; score:1.000000
	FP => drove:[407,5]; score:1.000000
	FP => strong:[376,6]; score:1.000000
	FP => percent:[4954,7]; score:1.000000
	FP => retailers:[285,9]; score:1.000000
	FP => heating oil:[2273,11]; score:1.000000
	FP => contraction:[2788,11]; score:1.000000
	FP => employment:[1796,10]; score:1.000000
	FP => percent:[1377,7]; score:1.000000
	FP => percent:[2914,7]; score:1.000000
	FP => service:[3938,7]; score:1.000000
	FP => spending:[837,8]; score:1.000000
	FP => rose:[1476,4]; score:1.000000
	FP => report:[1928,6]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
	FP => big:[1511,3]; score:1.000000
	FP => flat:[3530,4]; score:1.000000
	FP => percent:[4461,7]; score:1.000000
	FP => natural gas:[2289,11]; score:1.000000
	FP => month:[2988,5]; score:1.000000
	FP => issues:[4494,6]; score:1.000000
	FP => President:[2356,9]; score:1.000000
	FP => expected:[2901,8]; score:1.000000
	FP => record:[2965,6]; score:1.000000
 => United States:[2239,13]; score:1.000000
	FP => chief:[951,5]; score:1.000000
	FP => year:[2011,4]; score:1.000000
	FP => Bonds:[1470,5]; score:1.000000
	FP => percent:[4997,7]; score:1.000000
	FP => December:[3434,8]; score:1.000000
	FP => less-than:[2891,9]; score:1.000000
	FP => work:[2534,4]; score:1.000000
 => Goodyear Tire & Rubber:[4026,22]; score:1.000000
	FP => early:[1993,5]; score:1.000000
	FP => November:[2925,8]; score:1.000000
	FP => percent:[3469,7]; score:1.000000
	FP => percent:[3981,7]; score:1.000000
	FP => manufacturing:[727,13]; score:1.000000
	FP => ISM:[2573,3]; score:1.000000
	FP => expected:[882,8]; score:1.000000
	FP => topping:[3478,7]; score:1.000000
 => Automatic Data Processing Inc.:[1741,30]; score:1.000000
	FP => heart failure:[3805,13]; score:1.000000
	FP => rose:[3574,4]; score:1.000000
	FP => growth:[3514,6]; score:1.000000
	FP => market:[957,6]; score:1.000000
	FP => word:[508,4]; score:1.000000
	FP => activity:[2945,8]; score:1.000000
	FP => word:[2559,4]; score:1.000000
	FP => company:[3490,7]; score:1.000000
	FP => percent:[1445,7]; score:1.000000
	FP => investors:[1899,9]; score:1.000000
	FP => Goldman:[942,7]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
	FP => Stocks:[465,6]; score:1.000000
	FP => start:[499,5]; score:1.000000
	FP => mixed:[2035,5]; score:1.000000
	FP => year:[1554,4]; score:1.000000
	FP => rate:[3094,4]; score:1.000000
	FP => yield:[1528,5]; score:1.000000
	FP => expected:[923,8]; score:1.000000
	FP => year:[25,4]; score:1.000000
	FP => sentiment:[383,9]; score:1.000000
	FP => oil prices:[352,10]; score:1.000000
	FP => trading:[448,7]; score:1.000000
	FP => volume:[4577,6]; score:1.000000
	FP => straight:[2979,8]; score:1.000000
	FP => construction:[2856,12]; score:1.000000
	FP => fell:[1573,4]; score:1.000000
	FP => day:[4676,3]; score:1.000000
	FP => start:[7,5]; score:1.000000
	FP => dollar:[2024,6]; score:1.000000
	FP => major:[2055,5]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
	FP => forecast:[3500,8]; score:1.000000
	FP => private sector:[1781,14]; score:1.000000
	FP => week:[4139,4]; score:1.000000
	FP => fell:[2091,4]; score:1.000000
	FP => subscriber:[3955,10]; score:1.000000
	FP => aftermath:[2451,9]; score:1.000000
	FP => construction:[824,12]; score:1.000000
	FP => shares:[4605,6]; score:1.000000
 => Dow:[1115,3]; score:1.000000
	FP => Stocks:[0,6]; score:1.000000
	FP => percent:[3554,7]; score:1.000000
	FP => rally:[35,5]; score:1.000000
	FP => fell:[2119,4]; score:1.000000
	FP => advance:[1515,7]; score:1.000000
	FP => percent:[4076,7]; score:1.000000
	FP => annual:[3087,6]; score:1.000000
	FP => today:[1072,5]; score:1.000000
	FP => terrorist:[2484,9]; score:1.000000
	FP => billion:[4597,7]; score:1.000000
	FP => point:[4660,5]; score:1.000000
	FP => Light:[2100,5]; score:1.000000
	FP => building:[3033,8]; score:1.000000
	FP => surge:[57,5]; score:1.000000
	FP => Bond:[1625,4]; score:1.000000
	FP => early:[1086,5]; score:1.000000
	FP => activity:[3042,8]; score:1.000000
	FP => chief executive:[4361,15]; score:1.000000
	FP => news:[3678,4]; score:1.000000
	FP => years:[579,5]; score:1.000000
	FP => hurt:[4195,4]; score:1.000000
	FP => ISM:[1667,3]; score:1.000000
	FP => Market:[42,6]; score:1.000000
	FP => month:[4173,5]; score:1.000000
	FP => outnumbered:[4501,11]; score:1.000000
	FP => trading:[17,7]; score:1.000000
	FP => home improvement:[3324,16]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
	FP => support:[1049,7]; score:1.000000
	FP => construction:[895,12]; score:1.000000
	FP => Friday:[4666,6]; score:1.000000
 => Home Depot Inc.:[295,15]; score:1.000000
	FP => manufacturing sector:[2700,20]; score:1.000000
	FP => news:[1671,4]; score:1.000000
	FP => investors:[2540,9]; score:1.000000
	FP => anemic:[4683,6]; score:1.000000
	FP => mild:[2190,4]; score:1.000000
	FP => chairman:[531,8]; score:1.000000
	FP => Friday:[1617,6]; score:1.000000
	FP => percent:[1586,7]; score:1.000000
	FP => volume:[4690,6]; score:1.000000
	FP => market:[3154,6]; score:1.000000
	FP => strike:[4179,6]; score:1.000000
	FP => stock:[628,5]; score:1.000000
	FP => weak:[1683,4]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
	FP => percent:[3642,7]; score:1.000000
	FP => reading:[2618,7]; score:1.000000
	FP => barrel:[2144,6]; score:1.000000
	FP => news:[3743,4]; score:1.000000
	FP => benchmark:[1541,9]; score:1.000000
	FP => percent:[1604,7]; score:1.000000
	FP => stronger:[2600,8]; score:1.000000
 => Home Depot:[3563,10]; score:1.000000
	FP => gains:[650,5]; score:1.000000
	FP => hold:[2217,4]; score:1.000000
	FP => good:[3241,4]; score:1.000000
	FP => trading:[1102,7]; score:1.000000
	FP => months:[3181,6]; score:1.000000
	FP => work:[3757,4]; score:1.000000
	FP => resigned:[564,8]; score:1.000000
	FP => Stocks:[116,6]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
	FP => reading:[2658,7]; score:1.000000
 => Home Depot:[518,10]; score:1.000000
	FP => News:[3267,4]; score:1.000000
	FP => higher:[137,6]; score:1.000000
	FP => interest rate:[1968,13]; score:1.000000
	FP => company:[618,7]; score:1.000000
	FP => currencies:[2061,10]; score:1.000000
 => ADP:[1772,3]; score:1.000000
	FP => holiday:[4721,7]; score:1.000000
	FP => weaker:[4240,6]; score:1.000000
	FP => signals:[2675,7]; score:1.000000
	FP => percent:[1141,7]; score:1.000000
	FP => expected:[2646,8]; score:1.000000
	FP => balance:[1655,7]; score:1.000000
 => Nikkei stock average:[4839,20]; score:1.000000
	FP => Goldman:[3194,7]; score:1.000000
	FP => market:[3225,6]; score:1.000000
	FP => Sept. 11, 2001:[2468,14]; score:1.000000
	FP => afternoon:[1092,9]; score:1.000000
	FP => post:[4319,4]; score:1.000000
	FP => report:[1699,6]; score:1.000000
	FP => NEW YORK:[105,8]; score:1.000000
	FP => rose:[1254,4]; score:1.000000
	FP => loss:[4326,4]; score:1.000000
	FP => percent:[3722,7]; score:1.000000
	FP => solid:[201,5]; score:1.000000
	FP => figure:[2733,6]; score:1.000000
	FP => drugs:[3789,5]; score:1.000000
	FP => jumping:[1169,7]; score:1.000000
	FP => corporate:[3668,9]; score:1.000000
	FP => stock:[1232,5]; score:1.000000
	FP => weather:[2195,7]; score:1.000000
