[Bus3683270.txt]
***************** Gold Standard: ***********************
 => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
	FN => Nikkei stock average:[4839,4859]; score:1.000000; title:Nikkei 225; score:1.000000
	FN => NEW YORK:[105,113]; score:1.000000; title:New York City; score:1.000000
 => Home Depot:[3563,3573]; score:1.000000; title:Home Depot; score:1.000000
 => Wall Street:[662,673]; score:1.000000; title:Wall Street; score:1.000000
 => Russell 2000 index:[4737,4755]; score:1.000000; title:Russell 2000; score:1.000000
	FN => ISM:[2573,2576]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => New York Mercantile Exchange:[2158,2186]; score:1.000000; title:New York Mercantile Exchange; score:1.000000
 => Wal-Mart Stores Inc.:[315,335]; score:1.000000; title:Wal-Mart; score:1.000000
 => DAX:[4932,4935]; score:1.000000; title:DAX; score:1.000000
 => Dow Jones:[417,426]; score:1.000000; title:Dow Jones Industrial Average; score:1.000000
	FN => Dow:[1115,1118]; score:1.000000; title:Dow Jones Industrial Average; score:1.000000
 => Gerald R. Ford:[2366,2380]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Standard & Poor's 500:[1328,1349]; score:1.000000; title:S&P 500; score:1.000000
 => Institute for Supply Management:[750,781]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => United States:[2239,2252]; score:1.000000; title:United States; score:1.000000
	FN => Japan:[4831,4836]; score:1.000000; title:Japan; score:1.000000
 => Nasdaq:[1269,1275]; score:1.000000; title:NASDAQ; score:1.000000
 => Automatic Data Processing Inc.:[1741,1771]; score:1.000000; title:Automatic Data Processing; score:1.000000
	FN => ISM:[855,858]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,4051]; score:1.000000; title:Goodyear Tire & Rubber; score:1.000000
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000; title:Wal-Mart; score:1.000000
	FN => CAC-40:[4976,4982]; score:1.000000; title:CAC 40; score:1.000000
	FN => FTSE 100:[4889,4897]; score:1.000000; title:FTSE 100 Index; score:1.000000
 => Home Depot:[69,79]; score:1.000000; title:Home Depot; score:1.000000
 => Sirius Satellite Radio Inc:[3854,3880]; score:1.000000; title:Sirius Satellite Radio; score:1.000000
	FN => Home Depot:[518,528]; score:1.000000; title:Home Depot; score:1.000000
 => New York Stock Exchange:[4546,4569]; score:1.000000; title:New York Stock Exchange; score:1.000000
 => Wall Street:[2382,2393]; score:1.000000; title:Wall Street; score:1.000000
	FN => Germany:[4922,4929]; score:1.000000; title:Germany; score:1.000000
 => Wal-Mart:[3610,3618]; score:1.000000; title:Wal-Mart; score:1.000000
 => U.S.:[4279,4283]; score:1.000000; title:United States; score:1.000000
	FN => France:[4967,4973]; score:1.000000; title:France; score:1.000000
 => Commerce Department:[2999,3018]; score:1.000000; title:United States Department of Commerce; score:1.000000
 => A.G. Edwards:[978,990]; score:1.000000; title:A.G. Edwards; score:1.000000
 => Amgen Inc:[3767,3776]; score:1.000000; title:Amgen; score:1.000000
 => Amgen:[3820,3825]; score:1.000000; title:Amgen; score:1.000000
	FN => Britain:[4879,4886]; score:1.000000; title:Great Britain; score:1.000000
	FN => ADP:[1772,1775]; score:1.000000; title:Automatic Data Processing; score:1.000000
 => Lennar Corp.:[4253,4265]; score:1.000000; title:Lennar Corporation; score:1.000000
	FN => New Year:[4710,4718]; score:1.000000; title:New Year; score:1.000000
 => Lennar:[4435,4441]; score:1.000000; title:Lennar Corporation; score:1.000000
