[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
 => NEW YORK:[105,8]; score:1.000000
	FN => France:[4967,6]; score:1.000000
 => Home Depot:[3563,10]; score:1.000000
 => DAX:[4932,3]; score:1.000000
	FN => Al Goldman:[939,10]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
 => Wal-Mart Stores Inc.:[315,20]; score:1.000000
	FN => Britain:[4879,7]; score:1.000000
	FN => ISM:[2573,3]; score:1.000000
	FN => CAC-40:[4976,6]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
 => Russell 2000 index:[4737,18]; score:1.000000
	FN => Nasdaq:[1269,6]; score:1.000000
 => Automatic Data Processing Inc.:[1741,30]; score:1.000000
 => Institute for Supply Management:[750,31]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
 => Sirius Satellite Radio Inc:[3854,26]; score:1.000000
	FN => ISM:[855,3]; score:1.000000
	FN => Dow Jones:[417,9]; score:1.000000
	FN => Dow:[1115,3]; score:1.000000
	FN => Japan:[4831,5]; score:1.000000
 => Home Depot:[69,10]; score:1.000000
	FN => Standard & Poor's 500:[1328,21]; score:1.000000
	FN => Home Depot:[518,10]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,25]; score:1.000000
 => Bob Nardelli:[3277,12]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
 => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
 => ADP:[1772,3]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
 => Lennar:[4435,6]; score:1.000000
 => Amgen Inc:[3767,9]; score:1.000000
 => Lennar Corp.:[4253,12]; score:1.000000
	FN => FTSE 100:[4889,8]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
	FN => Germany:[4922,7]; score:1.000000
	FN => Nikkei stock average:[4839,20]; score:1.000000
	FN => Goldman:[3194,7]; score:1.000000
	FN => Cytokinetics Inc:[3684,16]; score:1.000000
 => Home Depot Inc:[295,14]; score:1.000000
	FN => New Year:[4710,8]; score:1.000000

************************ System Result: ***************************
 => Home Depot:[3563,10]; score:1.208917
	FP => chief executive:[80,15]; score:1.190150
 => Wal-Mart Stores:[3411,15]; score:1.086866
	FP => 2007:[168,4]; score:1.105140
	FP => Dow Jones industrials:[417,21]; score:1.000000
	FP => Stocks:[116,6]; score:0.617355
 => U.S.:[4279,4]; score:0.454751
	FP => heating oil:[2273,11]; score:1.232435
	FP => contraction:[2788,11]; score:0.000000
 => Bob Nardelli:[3277,12]; score:1.020307
	FP => interest rate:[1968,13]; score:0.973184
	FP => currencies:[2061,10]; score:0.833605
 => Nasdaq:[1418,6]; score:1.065595
	FP => natural gas:[2289,11]; score:1.138613
 => ADP:[1772,3]; score:0.506594
 => Automatic Data Processing Inc:[1741,29]; score:0.941465
 => United States:[2239,13]; score:0.643810
 => Sirius Satellite Radio Inc.:[3854,27]; score:0.835831
	FP => investor sentiment:[3365,18]; score:1.000000
	FP => Bonds:[1470,5]; score:0.320336
 => NEW YORK:[105,8]; score:0.106050
 => A.G. Edwards.:[978,13]; score:0.895339
	FP => drugs:[3789,5]; score:0.000000
	FP => ISM:[2573,3]; score:0.000000
	FP => manufacturing:[727,13]; score:1.139462
	FP => heart failure:[3805,13]; score:1.333479
	FP => gold prices:[2079,11]; score:1.000000
 => Home Depot:[69,10]; score:1.203254
	FP => lackluster:[588,10]; score:1.000000
 => Amgen:[3820,5]; score:1.085338
 => Wal-Mart Stores Inc:[315,19]; score:1.053735
	FP => Stocks:[465,6]; score:1.025776
 => New York Stock Exchange:[4546,23]; score:1.167383
	FP => sweet crude:[2107,11]; score:1.052684
	FP => cents:[3834,5]; score:0.000000
	FP => oil prices:[352,10]; score:0.889910
	FP => payroll:[1725,7]; score:0.794390
	FP => —:[2427,1]; score:1.000000
	FP => Nasdaq composite index:[1269,22]; score:1.000000
 => DAX:[4932,3]; score:1.142160
	FP => late Friday:[1612,11]; score:1.000000
	FP => dollar:[2024,6]; score:0.487899
 => Wall Street:[2382,11]; score:0.819374
	FP => —:[2439,1]; score:1.000000
	FP => private sector:[1781,14]; score:1.061593
	FP => subscriber:[3955,10]; score:1.032459
	FP => Treasury note:[1559,13]; score:0.972748
	FP => nearly:[2803,6]; score:1.000000
 => Russell 2000 index:[4737,18]; score:1.000000
 => Institute for Supply Management:[750,31]; score:0.937605
	FP => ISM:[855,3]; score:0.000000
	FP => economy:[223,7]; score:0.080951
	FP => decliners:[4513,9]; score:1.000000
	FP => Stocks:[0,6]; score:1.151730
	FP => seasonally adjusted annual rate:[3067,31]; score:1.000000
	FP => terrorist attacks:[2484,17]; score:0.881792
	FP => cents:[3890,5]; score:0.000000
 => New York Mercantile Exchange:[2158,28]; score:1.207653
	FP => Bond:[1625,4]; score:0.470388
	FP => stocks:[2848,6]; score:0.314814
	FP => chief executive:[4361,15]; score:1.518270
 => Goodyear Tire & Rubber Co.:[4026,26]; score:1.000000
	FP => ISM:[1667,3]; score:0.000000
 => Wall Street:[662,11]; score:0.612509
 => Amgen Inc.:[3767,10]; score:0.960893
	FP => chief executive:[544,15]; score:1.236472
	FP => housing market:[4419,14]; score:0.298277
	FP => radio:[3932,5]; score:0.877317
	FP => surpass:[4126,7]; score:1.000000
 => Home Depot Inc.:[295,15]; score:1.305053
	FP => manufacturing sector:[2700,20]; score:0.928159
	FP => strategist:[964,10]; score:0.879549
	FP => Standard & Poor:[1328,15]; score:1.000000
	FP => funeral:[2345,7]; score:0.105139
 => Commerce Department:[2999,19]; score:0.936243
	FP => anemic:[4683,6]; score:1.103139
	FP => strike:[4179,6]; score:0.498472
 => Lennar:[4435,6]; score:1.013915
 => Lennar Corp.:[4253,12]; score:1.014321
 => Wal-Mart:[3610,8]; score:0.812306
	FP => barrel:[2144,6]; score:0.480622
 => President Gerald R. Ford:[2356,24]; score:0.986190
	FP => benchmark:[1541,9]; score:0.069357
P/R/F:0.3493976/0.6041667/0.4427481; tpCount:29.0; fpCount:54.0; fnCount:19.0
[Pol16447720.txt]
***************** Gold Standard: ***********************
 => Soviets:[3527,7]; score:1.000000
 => Ford:[37,4]; score:1.000000
 => Norman Rockwell:[3155,15]; score:1.000000
 => Gerald R. Ford:[242,14]; score:1.000000
 => Grand River:[1745,11]; score:1.000000
 => President Bush:[3061,14]; score:1.000000
 => Egypt:[3597,5]; score:1.000000
	FN => Brokaw:[3830,6]; score:1.000000
 => Washington:[2683,10]; score:1.000000
 => NBC:[2772,3]; score:1.000000
 => America:[2906,7]; score:1.000000
	FN => Ford:[4153,4]; score:1.000000
 => Midwest:[350,7]; score:1.000000
 => America:[2528,7]; score:1.000000
 => Israel:[3586,6]; score:1.000000
	FN => Ford:[3267,4]; score:1.000000
 => America:[2919,7]; score:1.000000
	FN => America:[3817,7]; score:1.000000
	FN => Ford:[4039,4]; score:1.000000
 => Kissinger:[3758,9]; score:1.000000
 => Nixon:[4011,5]; score:1.000000
 => President Ford:[2069,14]; score:1.000000
	FN => Grace Episcopal Church in East Grand Rapids:[662,43]; score:1.000000
	FN => Ford:[591,4]; score:1.000000
 => Calif.:[4370,6]; score:1.000000
 => President Bush:[2720,14]; score:1.000000
 => Ford:[4313,4]; score:1.000000
	FN => Wolverines:[1956,10]; score:1.000000
 => Henry Kissinger:[2826,15]; score:1.000000
	FN => Ford:[864,4]; score:1.000000
	FN => Grand River:[775,11]; score:1.000000
 => Michigan:[1511,8]; score:1.000000
 => Washington National Cathedral:[1373,29]; score:1.000000
 => President Ford:[2864,14]; score:1.000000
	FN => The Victors:[4238,11]; score:1.000000
 => Ford:[1000,4]; score:1.000000
	FN => GRAND RAPIDS:[113,12]; score:1.000000
 => President Bush:[3124,14]; score:1.000000
	FN => Ford:[1130,4]; score:1.000000
	FN => Ford:[492,4]; score:1.000000
	FN => Michigan National Guard:[2209,23]; score:1.000000
	FN => Ford:[2799,4]; score:1.000000
 => President Jimmy Carter:[963,22]; score:1.000000
 => Ford:[3314,4]; score:1.000000
	FN => Grand Rapids:[2171,12]; score:1.000000
 => University of Michigan:[4170,22]; score:1.000000
 => Gerald R. Ford Presidential Library and Museum:[1764,46]; score:1.000000
	FN => Kalamazoo:[2144,9]; score:1.000000
	FN => Grand Rapids:[2051,12]; score:1.000000
	FN => Ford:[1277,4]; score:1.000000
	FN => Bush:[3071,4]; score:1.000000
	FN => Lynn Chapp:[2245,10]; score:1.000000
 => Michigan:[4104,8]; score:1.000000
 => Michigan:[12,8]; score:1.000000
	FN => Karin Lewis:[431,11]; score:1.000000
 => Jennifer Granholm:[1525,17]; score:1.000000
 => Grand Rapids airport:[4121,20]; score:1.000000
 => Ford:[1930,4]; score:1.000000
	FN => Ford:[3466,4]; score:1.000000
 => Kissinger:[3440,9]; score:1.000000
	FN => southern Africa:[3641,15]; score:1.000000
	FN => Ford:[2191,4]; score:1.000000
 => Ford:[1551,4]; score:1.000000
 => Grand Rapids airport:[1312,20]; score:1.000000
	FN => Bobbe Taber:[2106,11]; score:1.000000
 => Ford:[3861,4]; score:1.000000
 => Donald Rumsfeld:[833,15]; score:1.000000
	FN => Washington:[1629,10]; score:1.000000
 => Gerald Ford:[3775,11]; score:1.000000
 => University of Michigan:[1900,22]; score:1.000000
 => Tom Brokaw:[2784,10]; score:1.000000
 => Rancho Mirage:[4355,13]; score:1.000000
 => Mich.:[127,5]; score:1.000000
	FN => Ford:[4255,4]; score:1.000000
 => Richard Norton Smith:[1073,20]; score:1.000000
 => DeVos Place convention center:[1690,29]; score:1.000000

************************ System Result: ***************************
	FP => Final salute:[1201,12]; score:0.911666
 => Grand River:[1745,11]; score:0.331861
 => NBC:[2772,3]; score:0.457828
 => America:[2906,7]; score:0.791241
 => Midwest:[350,7]; score:0.703241
 => America:[2919,7]; score:0.728988
	FP => Grace Episcopal Church:[662,22]; score:0.000000
	FP => Lynn:[2245,4]; score:0.378134
	FP => funeral:[2664,7]; score:0.667907
 => Ford:[3782,4]; score:0.818028
	FP => hit list:[3917,8]; score:0.000000
 => Nixon:[4011,5]; score:0.190945
	FP => oblique:[3952,7]; score:0.000000
	FP => Lewis:[437,5]; score:0.545537
