[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
 => Home Depot:[3563,10]; score:1.000000
 => DAX:[4932,3]; score:1.000000
	FN => France:[4967,6]; score:1.000000
	FN => Al Goldman:[939,10]; score:1.000000
 => NEW YORK:[105,8]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
	FN => Wal-Mart Stores Inc.:[315,20]; score:1.000000
	FN => Britain:[4879,7]; score:1.000000
	FN => CAC-40:[4976,6]; score:1.000000
	FN => ISM:[2573,3]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
 => Russell 2000 index:[4737,18]; score:1.000000
	FN => Automatic Data Processing Inc.:[1741,30]; score:1.000000
	FN => Nasdaq:[1269,6]; score:1.000000
 => Institute for Supply Management:[750,31]; score:1.000000
	FN => Gerald R. Ford:[2366,14]; score:1.000000
 => U.S.:[4279,4]; score:1.000000
	FN => Sirius Satellite Radio Inc:[3854,26]; score:1.000000
	FN => ISM:[855,3]; score:1.000000
 => Dow Jones:[417,9]; score:1.000000
	FN => Dow:[1115,3]; score:1.000000
	FN => Japan:[4831,5]; score:1.000000
 => Home Depot:[69,10]; score:1.000000
	FN => Standard & Poor’s 500:[1328,21]; score:1.000000
	FN => Home Depot:[518,10]; score:1.000000
	FN => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
 => Bob Nardelli:[3277,12]; score:1.000000
	FN => Goodyear Tire & Rubber Co:[4026,25]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
	FN => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
 => ADP:[1772,3]; score:1.000000
	FN => New York Stock Exchange:[4546,23]; score:1.000000
 => Lennar:[4435,6]; score:1.000000
	FN => Amgen Inc:[3767,9]; score:1.000000
 => Lennar Corp.:[4253,12]; score:1.000000
	FN => FTSE 100:[4889,8]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
	FN => Germany:[4922,7]; score:1.000000
	FN => Nikkei stock average:[4839,20]; score:1.000000
	FN => Goldman:[3194,7]; score:1.000000
	FN => Cytokinetics Inc:[3684,16]; score:1.000000
	FN => Home Depot Inc:[295,14]; score:1.000000
	FN => New Year:[4710,8]; score:1.000000

************************ System Result: ***************************
	FP => chief executive:[80,15]; score:1.190150
 => Home Depot:[3563,10]; score:1.208917
	FP => late Friday:[1612,11]; score:1.000000
 => DAX:[4932,3]; score:1.142160
	FP => dollar:[2024,6]; score:0.487899
 => Wall Street:[2382,11]; score:0.819374
	FP => 2007:[168,4]; score:1.105140
	FP => Wal-Mart Stores:[3411,15]; score:1.086866
	FP => —:[2439,1]; score:1.000000
	FP => private sector:[1781,14]; score:1.061593
	FP => subscriber:[3955,10]; score:1.032459
	FP => nearly:[2803,6]; score:1.000000
	FP => Stocks:[116,6]; score:0.617355
 => Russell 2000 index:[4737,18]; score:1.000000
 => Institute for Supply Management:[750,31]; score:0.937605
 => U.S.:[4279,4]; score:0.454751
	FP => ISM:[855,3]; score:0.000000
 => Dow Jones:[417,9]; score:0.487266
	FP => economy:[223,7]; score:0.080951
	FP => decliners:[4513,9]; score:1.000000
	FP => contraction:[2788,11]; score:0.000000
	FP => New York:[4546,8]; score:0.257910
	FP => Stocks:[0,6]; score:1.151730
	FP => seasonally adjusted annual rate:[3067,31]; score:1.000000
	FP => oil:[352,3]; score:0.369069
 => Bob Nardelli:[3277,12]; score:1.020307
	FP => interest rate:[1968,13]; score:0.973184
	FP => currencies:[2061,10]; score:0.833605
	FP => terrorist attacks:[2484,17]; score:0.881792
 => Nasdaq:[1418,6]; score:1.065595
	FP => oil:[2281,3]; score:0.119397
	FP => Sirius:[3854,6]; score:0.046628
 => ADP:[1772,3]; score:0.506594
	FP => cents:[3890,5]; score:0.000000
 => United States:[2239,13]; score:0.643810
 => New York Mercantile Exchange:[2158,28]; score:1.207653
	FP => Automatic Data Processing:[1741,25]; score:1.032695
	FP => Bond:[1625,4]; score:0.470388
	FP => gas:[2297,3]; score:0.078549
	FP => Bonds:[1470,5]; score:0.320336
	FP => stocks:[2848,6]; score:0.314814
	FP => chief executive:[4361,15]; score:1.518270
	FP => ISM:[1667,3]; score:0.000000
 => NEW YORK:[105,8]; score:0.106050
	FP => A.G. Edwards.:[978,13]; score:0.895339
	FP => drugs:[3789,5]; score:0.000000
	FP => manufacturing:[727,13]; score:1.139462
	FP => ISM:[2573,3]; score:0.000000
 => Wall Street:[662,11]; score:0.612509
	FP => Amgen Inc.:[3767,10]; score:0.960893
	FP => heart failure:[3805,13]; score:1.333479
	FP => chief executive:[544,15]; score:1.236472
	FP => housing market:[4419,14]; score:0.298277
	FP => radio:[3932,5]; score:0.877317
	FP => surpass:[4126,7]; score:1.000000
	FP => Home Depot Inc.:[295,15]; score:1.305053
	FP => strategist:[964,10]; score:0.879549
 => Home Depot:[69,10]; score:1.203254
	FP => Rubber Co.:[4042,10]; score:0.985387
	FP => Standard & Poor:[1328,15]; score:1.000000
	FP => lackluster:[588,10]; score:1.000000
	FP => funeral:[2345,7]; score:0.105139
 => Commerce Department:[2999,19]; score:0.936243
	FP => anemic:[4683,6]; score:1.103139
 => Amgen:[3820,5]; score:1.085338
	FP => Wal-Mart Stores Inc:[315,19]; score:1.053735
	FP => Stocks:[465,6]; score:1.025776
	FP => strike:[4179,6]; score:0.498472
 => Lennar:[4435,6]; score:1.013915
	FP => Treasury:[1559,8]; score:0.198122
	FP => sweet crude:[2107,11]; score:1.052684
 => Lennar Corp.:[4253,12]; score:1.014321
 => Wal-Mart:[3610,8]; score:0.812306
	FP => composite:[1276,9]; score:0.000000
	FP => cents:[3834,5]; score:0.000000
	FP => payroll:[1725,7]; score:0.794390
	FP => —:[2427,1]; score:1.000000
	FP => barrel:[2144,6]; score:0.480622
	FP => gold:[2079,4]; score:0.302833
	FP => President Gerald R. Ford:[2356,24]; score:0.986190
	FP => benchmark:[1541,9]; score:0.069357
	FP => investor:[3365,8]; score:0.798409
