[Bus3683270.txt]
***************** Gold Standard: ***********************
	FN => ISM:[1667,3]; score:1.000000
 => Home Depot:[3563,10]; score:1.000000
 => DAX:[4932,3]; score:1.000000
 => France:[4967,6]; score:1.000000
	FN => Al Goldman:[939,10]; score:1.000000
	FN => NEW YORK:[105,8]; score:1.000000
 => Wall Street:[2382,11]; score:1.000000
 => Wal-Mart Stores Inc.:[315,20]; score:1.000000
	FN => Britain:[4879,7]; score:1.000000
 => CAC-40:[4976,6]; score:1.000000
	FN => ISM:[2573,3]; score:1.000000
 => Wall Street:[662,11]; score:1.000000
 => Russell 2000 index:[4737,18]; score:1.000000
 => Automatic Data Processing Inc.:[1741,30]; score:1.000000
 => Nasdaq:[1269,6]; score:1.000000
 => Institute for Supply Management:[750,31]; score:1.000000
 => Gerald R. Ford:[2366,14]; score:1.000000
	FN => U.S.:[4279,4]; score:1.000000
 => Sirius Satellite Radio Inc:[3854,26]; score:1.000000
	FN => ISM:[855,3]; score:1.000000
	FN => Dow Jones:[417,9]; score:1.000000
 => Dow:[1115,3]; score:1.000000
 => Japan:[4831,5]; score:1.000000
 => Home Depot:[69,10]; score:1.000000
	FN => Standard & Poor’s 500:[1328,21]; score:1.000000
 => Home Depot:[518,10]; score:1.000000
 => Wal-Mart Stores Inc.:[3411,20]; score:1.000000
 => Bob Nardelli:[3277,12]; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,25]; score:1.000000
 => Commerce Department:[2999,19]; score:1.000000
 => Nasdaq:[1418,6]; score:1.000000
 => A.G. Edwards:[978,12]; score:1.000000
 => Amgen:[3820,5]; score:1.000000
 => ADP:[1772,3]; score:1.000000
 => New York Stock Exchange:[4546,23]; score:1.000000
 => Lennar:[4435,6]; score:1.000000
 => Amgen Inc:[3767,9]; score:1.000000
 => Lennar Corp.:[4253,12]; score:1.000000
 => FTSE 100:[4889,8]; score:1.000000
 => New York Mercantile Exchange:[2158,28]; score:1.000000
 => United States:[2239,13]; score:1.000000
 => Wal-Mart:[3610,8]; score:1.000000
 => Germany:[4922,7]; score:1.000000
 => Nikkei stock average:[4839,20]; score:1.000000
	FN => Goldman:[3194,7]; score:1.000000
	FN => Cytokinetics Inc:[3684,16]; score:1.000000
 => Home Depot Inc:[295,14]; score:1.000000
 => New Year:[4710,8]; score:1.000000

************************ System Result: ***************************
 => France:[4967,6]; score:0.860069
	FP => chief executive:[80,15]; score:0.636152
 => Home Depot:[3563,10]; score:0.671676
	FP => 2007:[168,4]; score:0.238299
	FP => index:[4750,5]; score:0.453865
	FP => Stocks:[116,6]; score:0.570055
	FP => s:[529,1]; score:0.147978
	FP => retailers:[285,9]; score:0.438122
	FP => heating oil:[2273,11]; score:0.751489
	FP => s:[4887,1]; score:0.147978
	FP => contraction:[2788,11]; score:0.075963
	FP => employment:[1796,10]; score:0.360386
 => Home Depot:[518,10]; score:0.671676
	FP => News:[3267,4]; score:0.191788
	FP => rose:[1476,4]; score:0.188772
 => Bob Nardelli:[3277,12]; score:0.844933
	FP => interest rate:[1968,13]; score:0.808465
 => Nasdaq:[1418,6]; score:0.764173
	FP => natural gas:[2289,11]; score:0.760720
	FP => flat:[3530,4]; score:0.160795
 => A.G. Edwards:[978,12]; score:0.643364
	FP => seasonally adjusted:[3067,19]; score:0.291898
 => ADP:[1772,3]; score:0.758644
	FP => holiday:[4721,7]; score:0.223342
 => United States:[2239,13]; score:0.615893
 => Amgen:[3767,5]; score:0.798335
 => Nikkei stock average:[4839,20]; score:0.768886
	FP => market:[3225,6]; score:0.431928
 => Lennar:[4253,6]; score:0.389471
	FP => Bonds:[1470,5]; score:0.762039
 => Home Depot:[295,10]; score:0.671676
 => New Year:[4710,8]; score:0.262050
	FP => s:[1344,1]; score:0.147978
	FP => s:[4930,1]; score:0.147978
	FP => rose:[1254,4]; score:0.188772
 => Goodyear Tire & Rubber:[4026,22]; score:0.684584
	FP => solid:[201,5]; score:0.205798
	FP => drugs:[3789,5]; score:0.169744
	FP => manufacturing:[727,13]; score:0.643043
	FP => jumping:[1169,7]; score:0.075963
	FP => stock:[1232,5]; score:0.678838
	FP => corporate:[3668,9]; score:0.393736
	FP => weather:[2195,7]; score:0.223342
	FP => rose:[3826,4]; score:0.188772
	FP => heart failure:[3805,13]; score:0.715591
	FP => rose:[3574,4]; score:0.188772
	FP => investors:[1630,9]; score:0.563706
	FP => market:[957,6]; score:0.431928
	FP => soft landing:[1027,12]; score:0.354404
	FP => rose:[4860,4]; score:0.188772
	FP => chances:[1953,7]; score:0.047978
 => Japan:[4831,5]; score:0.881986
 => Home Depot:[69,10]; score:0.671676
	FP => investors:[1899,9]; score:0.563706
	FP => s:[3176,1]; score:0.147978
 => Amgen:[3820,5]; score:0.798335
	FP => s:[3432,1]; score:0.147978
 => Wal-Mart Stores Inc:[315,19]; score:0.895563
 => New York Stock Exchange:[4546,23]; score:0.905027
	FP => Stocks:[465,6]; score:0.570055
	FP => s:[4974,1]; score:0.147978
	FP => s:[4719,1]; score:0.147978
	FP => sweet crude:[2107,11]; score:0.289038
	FP => combat:[3798,6]; score:0.149167
	FP => s:[626,1]; score:0.147978
	FP => yield:[1528,5]; score:0.075963
	FP => builder:[4284,7]; score:0.228255
	FP => cents:[3834,5]; score:0.047978
	FP => oil prices:[352,10]; score:0.570055
	FP => payroll:[1725,7]; score:0.570055
	FP => gold:[2079,4]; score:0.674989
	FP => volume:[4577,6]; score:0.311001
	FP => construction:[2856,12]; score:0.228255
	FP => production:[4200,10]; score:0.643043
 => Wal-Mart Stores Inc:[3411,19]; score:0.895563
 => DAX:[4932,3]; score:0.881986
	FP => dollar:[2024,6]; score:0.375037
	FP => Sept. 11, 2001, terrorist attacks:[2468,33]; score:0.762499
 => Wall Street:[2382,11]; score:0.768580
	FP => forecast:[3500,8]; score:0.160795
	FP => rose:[3882,4]; score:0.188772
	FP => private sector:[1781,14]; score:0.674989
	FP => chain:[3341,5]; score:0.268380
	FP => subscriber:[3955,10]; score:0.510261
	FP => division:[1713,8]; score:0.047978
	FP => Treasury note:[1559,13]; score:0.563123
	FP => index:[2577,5]; score:0.453865
	FP => construction:[824,12]; score:0.228255
