[Bus3683270.txt]
***************** Gold Standard: ***********************
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000
 => Bob Nardelli:[3277,3289]; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,4051]; score:1.000000
 => Commerce Department:[2999,3018]; score:1.000000
 => Nasdaq:[1418,1424]; score:1.000000
 => A.G. Edwards:[978,990]; score:1.000000
 => Amgen:[3820,3825]; score:1.000000
 => ADP:[1772,1775]; score:1.000000
 => New York Stock Exchange:[4546,4569]; score:1.000000
 => Lennar:[4435,4441]; score:1.000000
 => Amgen Inc:[3767,3776]; score:1.000000
 => Lennar Corp.:[4253,4265]; score:1.000000
 => FTSE 100:[4889,4897]; score:1.000000
 => New York Mercantile Exchange:[2158,2186]; score:1.000000
 => United States:[2239,2252]; score:1.000000
 => Wal-Mart:[3610,3618]; score:1.000000
 => Germany:[4922,4929]; score:1.000000
 => Nikkei stock average:[4839,4859]; score:1.000000
	FN => Goldman:[3194,3201]; score:1.000000
	FN => Cytokinetics Inc:[3684,3700]; score:1.000000
 => Home Depot Inc:[295,309]; score:1.000000
 => New Year:[4710,4718]; score:1.000000
	FN => ISM:[1667,1670]; score:1.000000
 => Home Depot:[3563,3573]; score:1.000000
 => DAX:[4932,4935]; score:1.000000
 => France:[4967,4973]; score:1.000000
	FN => Al Goldman:[939,949]; score:1.000000
	FN => NEW YORK:[105,113]; score:1.000000
 => Wall Street:[2382,2393]; score:1.000000
 => Wal-Mart Stores Inc.:[315,335]; score:1.000000
 => Britain:[4879,4886]; score:1.000000
 => CAC-40:[4976,4982]; score:1.000000
	FN => ISM:[2573,2576]; score:1.000000
 => Wall Street:[662,673]; score:1.000000
 => Russell 2000 index:[4737,4755]; score:1.000000
 => Automatic Data Processing Inc.:[1741,1771]; score:1.000000
 => Nasdaq:[1269,1275]; score:1.000000
 => Institute for Supply Management:[750,781]; score:1.000000
 => Gerald R. Ford:[2366,2380]; score:1.000000
	FN => U.S.:[4279,4283]; score:1.000000
 => Sirius Satellite Radio Inc:[3854,3880]; score:1.000000
	FN => ISM:[855,858]; score:1.000000
 => Dow Jones:[417,426]; score:1.000000
 => Dow:[1115,1118]; score:1.000000
 => Japan:[4831,4836]; score:1.000000
 => Home Depot:[69,79]; score:1.000000
 => Standard & Poor’s 500:[1328,1349]; score:1.000000
 => Home Depot:[518,528]; score:1.000000

************************ System Result: ***************************
	FP => News:[3267,3271]; score:0.191788
	FP => rose:[1476,1480]; score:0.188772
 => Bob Nardelli:[3277,3289]; score:0.844933
	FP => interest rate:[1968,1981]; score:0.808465
 => Nasdaq:[1418,1424]; score:0.764173
 => A.G. Edwards:[978,990]; score:0.643364
	FP => natural gas:[2289,2300]; score:0.760720
	FP => flat:[3530,3534]; score:0.160795
	FP => seasonally adjusted:[3067,3086]; score:0.291898
 => ADP:[1772,1775]; score:0.758644
	FP => holiday:[4721,4728]; score:0.223342
 => United States:[2239,2252]; score:0.615893
 => Amgen:[3767,3772]; score:0.798335
	FP => market:[3225,3231]; score:0.431928
 => Nikkei stock average:[4839,4859]; score:0.768886
 => Lennar:[4253,4259]; score:0.389471
	FP => Bonds:[1470,1475]; score:0.762039
 => Home Depot:[295,305]; score:0.671676
 => New Year:[4710,4718]; score:0.262050
 => s:[1344,1345]; score:0.147978
	FP => s:[4930,4931]; score:0.147978
	FP => rose:[1254,1258]; score:0.188772
	FP => solid:[201,206]; score:0.205798
 => Goodyear Tire & Rubber:[4026,4048]; score:0.684584
	FP => drugs:[3789,3794]; score:0.169744
	FP => manufacturing:[727,740]; score:0.643043
	FP => jumping:[1169,1176]; score:0.075963
	FP => stock:[1232,1237]; score:0.678838
	FP => corporate:[3668,3677]; score:0.393736
	FP => weather:[2195,2202]; score:0.223342
	FP => rose:[3826,3830]; score:0.188772
	FP => heart failure:[3805,3818]; score:0.715591
	FP => rose:[3574,3578]; score:0.188772
	FP => investors:[1630,1639]; score:0.563706
	FP => market:[957,963]; score:0.431928
	FP => soft landing:[1027,1039]; score:0.354404
	FP => rose:[4860,4864]; score:0.188772
	FP => chances:[1953,1960]; score:0.047978
 => Japan:[4831,4836]; score:0.881986
 => Home Depot:[69,79]; score:0.671676
	FP => investors:[1899,1908]; score:0.563706
	FP => s:[3176,3177]; score:0.147978
	FP => s:[3432,3433]; score:0.147978
 => Amgen:[3820,3825]; score:0.798335
 => Wal-Mart Stores Inc:[315,334]; score:0.895563
	FP => Stocks:[465,471]; score:0.570055
 => New York Stock Exchange:[4546,4569]; score:0.905027
	FP => s:[4974,4975]; score:0.147978
	FP => s:[4719,4720]; score:0.147978
	FP => sweet crude:[2107,2118]; score:0.289038
	FP => combat:[3798,3804]; score:0.149167
	FP => s:[626,627]; score:0.147978
	FP => yield:[1528,1533]; score:0.075963
	FP => cents:[3834,3839]; score:0.047978
	FP => builder:[4284,4291]; score:0.228255
	FP => oil prices:[352,362]; score:0.570055
	FP => payroll:[1725,1732]; score:0.570055
	FP => gold:[2079,2083]; score:0.674989
	FP => volume:[4577,4583]; score:0.311001
	FP => construction:[2856,2868]; score:0.228255
	FP => production:[4200,4210]; score:0.643043
 => Wal-Mart Stores Inc:[3411,3430]; score:0.895563
 => DAX:[4932,4935]; score:0.881986
	FP => dollar:[2024,2030]; score:0.375037
 => Wall Street:[2382,2393]; score:0.768580
	FP => Sept. 11, 2001, terrorist attacks:[2468,2501]; score:0.762499
	FP => forecast:[3500,3508]; score:0.160795
	FP => rose:[3882,3886]; score:0.188772
	FP => private sector:[1781,1795]; score:0.674989
	FP => chain:[3341,3346]; score:0.268380
	FP => division:[1713,1721]; score:0.047978
	FP => subscriber:[3955,3965]; score:0.510261
	FP => Treasury note:[1559,1572]; score:0.563123
	FP => construction:[824,836]; score:0.228255
	FP => index:[2577,2582]; score:0.453865
	FP => momentum:[3253,3261]; score:0.323579
 => Institute for Supply Management:[750,781]; score:0.604085
 => Nasdaq:[1269,1275]; score:0.764173
	FP => shares:[4605,4611]; score:0.228342
	FP => economy:[223,230]; score:0.399595
 => Dow Jones:[417,426]; score:0.814604
 => Dow:[1115,1118]; score:0.138238
 => Sirius Satellite Radio:[3854,3876]; score:0.910800
	FP => Stocks:[0,6]; score:0.570055
	FP => rally:[35,40]; score:0.098959
	FP => investors:[176,185]; score:0.563706
	FP => s:[3498,3499]; score:0.147978
	FP => s:[2731,2732]; score:0.147978
	FP => composite index:[1276,1291]; score:0.662055
	FP => store sales:[3448,3459]; score:0.438122
	FP => cents:[3890,3895]; score:0.047978
 => CAC:[4976,4979]; score:0.096199
	FP => employment:[1688,1698]; score:0.360386
	FP => billion:[4597,4604]; score:0.323342
	FP => Light:[2100,2105]; score:0.228654
 => New York Mercantile Exchange:[2158,2186]; score:0.825001
 => Automatic Data Processing:[1741,1766]; score:0.758644
	FP => Bond:[1625,1629]; score:0.762039
	FP => stocks:[2848,2854]; score:0.570055
	FP => news:[3678,3682]; score:0.191788
	FP => chief executive:[4361,4376]; score:0.636152
	FP => index:[1350,1355]; score:0.453865
	FP => index:[4936,4941]; score:0.453865
	FP => Market:[42,48]; score:0.431928
 => Britain:[4879,4886]; score:0.246408
 => Wall Street:[662,673]; score:0.768580
	FP => home improvement:[3324,3340]; score:0.750066
	FP => chief executive:[544,559]; score:0.636152
	FP => construction:[895,907]; score:0.228255
	FP => housing market:[4419,4433]; score:0.202064
 => Russell 2000:[4737,4749]; score:0.600827
	FP => major currencies:[2055,2071]; score:0.243493
	FP => radio:[3932,3937]; score:0.530661
	FP => manufacturing sector:[2700,2720]; score:0.607099
	FP => strategist:[964,974]; score:0.182720
	FP => industrials:[427,438]; score:0.496877
	FP => rose:[3460,3464]; score:0.188772
 => Standard & Poor:[1328,1343]; score:0.752212
	FP => funeral:[2345,2352]; score:0.423261
	FP => news:[1671,1675]; score:0.191788
	FP => investors:[2540,2549]; score:0.563706
 => Commerce Department:[2999,3018]; score:0.662355
	FP => s:[4837,4838]; score:0.147978
	FP => anemic:[4683,4689]; score:0.263506
	FP => indexes:[49,56]; score:0.453865
	FP => chairman:[531,539]; score:0.509023
	FP => market:[3154,3160]; score:0.431928
	FP => volume:[4690,4696]; score:0.311001
	FP => rose:[1425,1429]; score:0.188772
	FP => strike:[4179,4185]; score:0.530661
 => Lennar:[4435,4441]; score:0.389471
	FP => stock:[628,633]; score:0.678838
	FP => Home builders:[4221,4234]; score:0.182731
	FP => s:[3314,3315]; score:0.147978
 => FTSE 100:[4889,4897]; score:0.723531
 => Wal-Mart:[3610,3618]; score:0.895563
 => Germany:[4922,4929]; score:0.661476
	FP => barrel:[2144,2150]; score:0.096199
	FP => news:[3743,3747]; score:0.191788
	FP => benchmark:[1541,1550]; score:0.258036
 => President Gerald R. Ford:[2356,2380]; score:0.647523
	FP => trillion:[3108,3116]; score:0.161902
	FP => investor:[3365,3373]; score:0.563706
	FP => chief executive:[80,95]; score:0.636152
 => Home Depot:[3563,3573]; score:0.671676
 => France:[4967,4973]; score:0.860069
	FP => 2007:[168,172]; score:0.238299
 => index:[4750,4755]; score:0.453865
	FP => Stocks:[116,122]; score:0.570055
	FP => s:[529,530]; score:0.147978
	FP => retailers:[285,294]; score:0.438122
	FP => heating oil:[2273,2284]; score:0.751489
	FP => s:[4887,4888]; score:0.147978
	FP => contraction:[2788,2799]; score:0.075963
	FP => employment:[1796,1806]; score:0.360386
 => Home Depot:[518,528]; score:0.671676
precision:0.25974026; recall:0.8333333; f1:0.3960396; tpCount:40.0; fpCount:114.0; fnCount:8.0
