[Bus3683270.txt]
***************** Gold Standard: ***********************
 => Bob Nardelli:[3277,3289]; score:1.000000; title:Robert Nardelli; score:1.000000
 => Nikkei stock average:[4839,4859]; score:1.000000; title:Nikkei 225; score:1.000000
	FN => NEW YORK:[105,113]; score:1.000000; title:New York City; score:1.000000
	FN => Home Depot:[3563,3573]; score:1.000000; title:Home Depot; score:1.000000
 => Wall Street:[662,673]; score:1.000000; title:Wall Street; score:1.000000
	FN => Russell 2000 index:[4737,4755]; score:1.000000; title:Russell 2000; score:1.000000
	FN => ISM:[2573,2576]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => New York Mercantile Exchange:[2158,2186]; score:1.000000; title:New York Mercantile Exchange; score:1.000000
 => Wal-Mart Stores Inc.:[315,335]; score:1.000000; title:Wal-Mart; score:1.000000
 => DAX:[4932,4935]; score:1.000000; title:DAX; score:1.000000
	FN => Dow Jones:[417,426]; score:1.000000; title:Dow Jones Industrial Average; score:1.000000
	FN => Dow:[1115,1118]; score:1.000000; title:Dow Jones Industrial Average; score:1.000000
	FN => Gerald R. Ford:[2366,2380]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Standard & Poor's 500:[1328,1349]; score:1.000000; title:S&P 500; score:1.000000
	FN => Institute for Supply Management:[750,781]; score:1.000000; title:Institute for Supply Management; score:1.000000
	FN => United States:[2239,2252]; score:1.000000; title:United States; score:1.000000
 => Japan:[4831,4836]; score:1.000000; title:Japan; score:1.000000
 => Nasdaq:[1269,1275]; score:1.000000; title:NASDAQ; score:1.000000
 => Automatic Data Processing Inc.:[1741,1771]; score:1.000000; title:Automatic Data Processing; score:1.000000
	FN => ISM:[855,858]; score:1.000000; title:Institute for Supply Management; score:1.000000
 => Goodyear Tire & Rubber Co:[4026,4051]; score:1.000000; title:Goodyear Tire & Rubber; score:1.000000
 => Wal-Mart Stores Inc.:[3411,3431]; score:1.000000; title:Wal-Mart; score:1.000000
	FN => CAC-40:[4976,4982]; score:1.000000; title:CAC 40; score:1.000000
 => FTSE 100:[4889,4897]; score:1.000000; title:FTSE 100 Index; score:1.000000
	FN => Home Depot:[69,79]; score:1.000000; title:Home Depot; score:1.000000
 => Sirius Satellite Radio Inc:[3854,3880]; score:1.000000; title:Sirius Satellite Radio; score:1.000000
	FN => Home Depot:[518,528]; score:1.000000; title:Home Depot; score:1.000000
 => New York Stock Exchange:[4546,4569]; score:1.000000; title:New York Stock Exchange; score:1.000000
 => Wall Street:[2382,2393]; score:1.000000; title:Wall Street; score:1.000000
	FN => Germany:[4922,4929]; score:1.000000; title:Germany; score:1.000000
 => Wal-Mart:[3610,3618]; score:1.000000; title:Wal-Mart; score:1.000000
	FN => U.S.:[4279,4283]; score:1.000000; title:United States; score:1.000000
 => France:[4967,4973]; score:1.000000; title:France; score:1.000000
	FN => Commerce Department:[2999,3018]; score:1.000000; title:United States Department of Commerce; score:1.000000
	FN => A.G. Edwards:[978,990]; score:1.000000; title:A.G. Edwards; score:1.000000
 => Amgen Inc:[3767,3776]; score:1.000000; title:Amgen; score:1.000000
 => Amgen:[3820,3825]; score:1.000000; title:Amgen; score:1.000000
	FN => Britain:[4879,4886]; score:1.000000; title:Great Britain; score:1.000000
 => ADP:[1772,1775]; score:1.000000; title:Automatic Data Processing; score:1.000000
	FN => Lennar Corp.:[4253,4265]; score:1.000000; title:Lennar Corporation; score:1.000000
	FN => New Year:[4710,4718]; score:1.000000; title:New Year; score:1.000000
	FN => Lennar:[4435,4441]; score:1.000000; title:Lennar Corporation; score:1.000000
 => Nasdaq:[1418,1424]; score:1.000000; title:NASDAQ; score:1.000000
	FN => Home Depot Inc:[295,309]; score:1.000000; title:Home Depot; score:1.000000
	FN => ISM:[1667,1670]; score:1.000000; title:Institute for Supply Management; score:1.000000

************************ System Result: ***************************
	FP => heating oil:[2273,2284]; score:0.751489; title:Heating oil; score:0.751489
	FP => stock:[628,633]; score:0.678838; title:Stock; score:0.678838
 => New York Mercantile Exchange:[2158,2186]; score:0.825001; title:New York Mercantile Exchange; score:0.825001
	FP => gold:[2079,2083]; score:0.674989; title:Gold; score:0.674989
 => DAX:[4932,4935]; score:0.881986; title:DAX; score:0.881986
 => Nikkei:[4839,4845]; score:0.768886; title:Nikkei 225; score:0.768886
 => Japan:[4831,4836]; score:0.881986; title:Japan; score:0.881986
	FP => Sept. 11, 2001:[2468,2482]; score:0.762499; title:September 11 attacks; score:0.762499
 => Nasdaq:[1269,1275]; score:0.764173; title:NASDAQ; score:0.764173
	FP => Dow Jones:[417,426]; score:0.814604; title:Dow Jones & Company; score:0.814604
 => New York Stock Exchange:[4546,4569]; score:0.905027; title:New York Stock Exchange; score:0.905027
	FP => terrorist attacks:[2484,2501]; score:0.762499; title:September 11 attacks; score:0.762499
 => Wall Street:[2382,2393]; score:0.768580; title:Wall Street; score:0.768580
 => Goodyear:[4026,4034]; score:0.684584; title:Goodyear Tire and Rubber Company; score:0.684584
	FP => private sector:[1781,1795]; score:0.674989; title:Private sector; score:0.674989
 => France:[4967,4973]; score:0.860069; title:France; score:0.860069
 => FTSE:[4889,4893]; score:0.723531; title:FTSE 100 Index; score:0.723531
 => Sirius:[3854,3860]; score:0.910800; title:Sirius Satellite Radio; score:0.910800
 => Amgen:[3767,3772]; score:0.798335; title:Amgen; score:0.798335
	FP => Standard & Poor:[1328,1343]; score:0.752212; title:Standard & Poor's; score:0.752212
	FP => home improvement:[3324,3340]; score:0.750066; title:Home improvement; score:0.750066
 => Wal-Mart Stores:[315,330]; score:0.895563; title:Walmart; score:0.895563
 => Wal-Mart Stores Inc:[315,334]; score:0.895563; title:Walmart; score:0.895563
 => Nasdaq:[1418,1424]; score:0.764173; title:NASDAQ; score:0.764173
 => Goodyear Tire:[4026,4039]; score:0.684584; title:Goodyear Tire and Rubber Company; score:0.684584
 => Bob Nardelli:[3277,3289]; score:0.844933; title:Robert Nardelli; score:0.844933
 => Wal-Mart Stores Inc:[3411,3430]; score:0.895563; title:Walmart; score:0.895563
 => Nikkei stock average:[4839,4859]; score:0.768886; title:Nikkei 225; score:0.768886
 => Wall Street:[662,673]; score:0.768580; title:Wall Street; score:0.768580
	FP => Sept. 11:[2468,2476]; score:0.762499; title:September 11 attacks; score:0.762499
 => Wal-Mart:[3610,3618]; score:0.895563; title:Walmart; score:0.895563
 => Goodyear Tire & Rubber:[4026,4048]; score:0.684584; title:Goodyear Tire and Rubber Company; score:0.684584
	FP => stock:[1232,1237]; score:0.678838; title:Stock; score:0.678838
 => FTSE 100:[4889,4897]; score:0.723531; title:FTSE 100 Index; score:0.723531
 => Sirius Satellite Radio:[3854,3876]; score:0.910800; title:Sirius Satellite Radio; score:0.910800
 => Wal-Mart Stores:[3411,3426]; score:0.895563; title:Walmart; score:0.895563
	FP => heart failure:[3805,3818]; score:0.715591; title:Heart failure; score:0.715591
	FP => Bonds:[1470,1475]; score:0.762039; title:Bond (finance); score:0.762039
	FP => Bond:[1625,1629]; score:0.762039; title:Bond (finance); score:0.762039
	FP => terrorist:[2484,2493]; score:0.705929; title:Terrorism; score:0.705929
 => Wal-Mart:[315,323]; score:0.895563; title:Walmart; score:0.895563
 => Automatic Data Processing:[1741,1766]; score:0.758644; title:Automatic Data Processing; score:0.758644
 => Amgen:[3820,3825]; score:0.798335; title:Amgen; score:0.798335
	FP => Ford:[2376,2380]; score:0.851348; title:Ford Motor Company; score:0.851348
 => ADP:[1772,1775]; score:0.758644; title:Automatic Data Processing; score:0.758644
	FP => stock:[4846,4851]; score:0.678838; title:Stock; score:0.678838
 => Wal-Mart:[3411,3419]; score:0.895563; title:Walmart; score:0.895563
	FP => interest rate:[1968,1981]; score:0.808465; title:Interest rate; score:0.808465
	FP => natural gas:[2289,2300]; score:0.760720; title:Natural gas; score:0.760720
	FP => Sept. 11, 2001, terrorist attacks:[2468,2501]; score:0.762499; title:September 11 attacks; score:0.762499
P/R/F:0.5121951/0.46666667/0.4883721; tpCount:21.0; fpCount:20.0; fnCount:24.0
[Pol16447720.txt]
***************** Gold Standard: ***********************
 => Israel:[3586,3592]; score:1.000000; title:Israel; score:1.000000
	FN => Ford:[2799,2803]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[3314,3318]; score:1.000000; title:Gerald Ford; score:1.000000
 => Midwest:[350,357]; score:1.000000; title:Midwestern United States; score:1.000000
	FN => Ford:[3466,3470]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[1930,1934]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => southern Africa:[3641,3656]; score:1.000000; title:southern Africa; score:1.000000
	FN => Mich.:[127,132]; score:1.000000; title:Michigan; score:1.000000
	FN => Ford:[1277,1281]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => America:[2919,2926]; score:1.000000; title:United States; score:1.000000
	FN => America:[3817,3824]; score:1.000000; title:United States; score:1.000000
 => Gerald Ford:[3775,3786]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Grand Rapids:[2171,2183]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => Ford:[3861,3865]; score:1.000000; title:Gerald Ford; score:1.000000
 => Kissinger:[3440,3449]; score:1.000000; title:Henry Kissinger; score:1.000000
	FN => Nixon:[4011,4016]; score:1.000000; title:Richard Nixon; score:1.000000
	FN => Soviets:[3527,3534]; score:1.000000; title:Soviet Union; score:1.000000
	FN => Ford:[1551,1555]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[2191,2195]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Washington:[1629,1639]; score:1.000000; title:Washington National Cathedral; score:1.000000
 => The Victors:[4238,4249]; score:1.000000; title:The Victors; score:1.000000
	FN => GRAND RAPIDS:[113,125]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => DeVos Place convention center:[1690,1719]; score:1.000000; title:DeVos Place Convention Center; score:1.000000
 => Gerald R. Ford:[242,256]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[37,41]; score:1.000000; title:Gerald Ford; score:1.000000
 => University of Michigan:[4170,4192]; score:1.000000; title:University of Michigan; score:1.000000
	FN => Grand River:[1745,1756]; score:1.000000; title:Grand River (Michigan); score:1.000000
	FN => Grand Rapids:[2051,2063]; score:1.000000; title:Grand Rapids, Michigan; score:1.000000
	FN => Ford:[4255,4259]; score:1.000000; title:Gerald Ford; score:1.000000
 => President Jimmy Carter:[963,985]; score:1.000000; title:Jimmy Carter; score:1.000000
 => Donald Rumsfeld:[833,848]; score:1.000000; title:Donald Rumsfeld; score:1.000000
	FN => President Bush:[2720,2734]; score:1.000000; title:George H. W. Bush; score:1.000000
	FN => Ford:[4153,4157]; score:1.000000; title:Gerald Ford; score:1.000000
 => Norman Rockwell:[3155,3170]; score:1.000000; title:Norman Rockwell; score:1.000000
	FN => President Bush:[3061,3075]; score:1.000000; title:George W. Bush; score:1.000000
 => Gerald R. Ford Presidential Library and Museum:[1764,1810]; score:1.000000; title:Gerald R. Ford Presidential Library; score:1.000000
 => Tom Brokaw:[2784,2794]; score:1.000000; title:Tom Brokaw; score:1.000000
	FN => Ford:[4039,4043]; score:1.000000; title:Gerald Ford; score:1.000000
 => University of Michigan:[1900,1922]; score:1.000000; title:University of Michigan; score:1.000000
	FN => Calif.:[4370,4376]; score:1.000000; title:California; score:1.000000
	FN => President Bush:[3124,3138]; score:1.000000; title:George H. W. Bush; score:1.000000
	FN => Kalamazoo:[2144,2153]; score:1.000000; title:Kalamazoo River; score:1.000000
 => President Ford:[2069,2083]; score:1.000000; title:Gerald Ford; score:1.000000
 => Richard Norton Smith:[1073,1093]; score:1.000000; title:Richard Norton Smith; score:1.000000
	FN => Grand Rapids airport:[4121,4141]; score:1.000000; title:Grand Rapids Airport; score:1.000000
	FN => Ford:[3267,3271]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Wolverines:[1956,1966]; score:1.000000; title:Michigan Wolverines; score:1.000000
	FN => Grand Rapids airport:[1312,1332]; score:1.000000; title:Grand Rapids Airport; score:1.000000
 => Michigan:[1511,1519]; score:1.000000; title:Michigan; score:1.000000
	FN => America:[2906,2913]; score:1.000000; title:United States; score:1.000000
 => Michigan National Guard:[2209,2232]; score:1.000000; title:United States National Guard; score:1.000000
 => Kissinger:[3758,3767]; score:1.000000; title:Henry Kissinger; score:1.000000
	FN => America:[2528,2535]; score:1.000000; title:United States; score:1.000000
	FN => Rancho Mirage:[4355,4368]; score:1.000000; title:Rancho Mirage, California; score:1.000000
	FN => Ford:[4313,4317]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Grand River:[775,786]; score:1.000000; title:Grand River (Michigan); score:1.000000
	FN => Ford:[591,595]; score:1.000000; title:Gerald Ford; score:1.000000
 => NBC:[2772,2775]; score:1.000000; title:NBC; score:1.000000
	FN => Washington:[2683,2693]; score:1.000000; title:Washington, D.C.; score:1.000000
 => Egypt:[3597,3602]; score:1.000000; title:Egypt; score:1.000000
	FN => Ford:[1000,1004]; score:1.000000; title:Gerald Ford; score:1.000000
 => Michigan:[4104,4112]; score:1.000000; title:Michigan; score:1.000000
 => President Ford:[2864,2878]; score:1.000000; title:Gerald Ford; score:1.000000
 => Michigan:[12,20]; score:1.000000; title:Michigan; score:1.000000
	FN => Ford:[492,496]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Brokaw:[3830,3836]; score:1.000000; title:Tom Brokaw; score:1.000000
	FN => Ford:[1130,1134]; score:1.000000; title:Gerald Ford; score:1.000000
	FN => Ford:[864,868]; score:1.000000; title:Gerald Ford; score:1.000000
 => Jennifer Granholm:[1525,1542]; score:1.000000; title:Jennifer Granholm; score:1.000000
 => Washington National Cathedral:[1373,1402]; score:1.000000; title:Washington National Cathedral; score:1.000000
 => Henry Kissinger:[2826,2841]; score:1.000000; title:Henry Kissinger; score:1.000000

************************ System Result: ***************************
	FP => Ford:[2874,2878]; score:0.866632; title:Ford Motor Company; score:0.866632
	FP => Ford:[4153,4157]; score:0.866632; title:Ford Motor Company; score:0.866632
 => Israel:[3586,3592]; score:0.705797; title:Israel; score:0.705797
	FP => salute:[1823,1829]; score:0.746573; title:Salute; score:0.746573
 => Jimmy Carter:[973,985]; score:0.967326; title:Jimmy Carter; score:0.967326
